Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
26-Can7LevSer-B7	B7	Lev	Ser	Can	4803	10	4587	5201	5038	5038	5499	6494	6186	5798	9	9	9	8	8	8	8	7
27-Gre7LevSer-B7	B7	Lev	Ser	Gre	6188	10	6625	6932	7029	8178	8665	9589	9108	6750	10	10	10	10	10	10	10	9
1-Ita8BacSte-B8	B8	Bac	Ste	Ita	4751	10	5896	6713	7696	8675	9541	9828	10695	9845	10	10	10	10	10	9	9	8
2-Can8BacSte-B8	B8	Bac	Ste	Can	4373	10	5633	6122	6865	8069	8910	9933	10521	11251	10	10	10	10	10	10	10	10
3-Gre8BacSte-B8	B8	Bac	Ste	Gre	6191	10	7229	8183	8642	10026	11310	12902	12996	13158	10	10	10	10	10	10	10	10
4-Can8ConSer-B8	B8	Con	Ser	Can	4310	10	4904	5571	5157	6257	6706	7390	7295	7465	10	10	10	10	10	10	10	10
5-Ita8ConSer-B8	B8	Con	Ser	Ita	5402	10	5992	7305	7641	8828	9734	8654	8753	8757	10	10	10	10	10	8	8	8
6-Gre8ConSer-B8	B8	Con	Ser	Gre	5032	10	6237	7129	7125	8950	9772	11156	10905	11199	10	10	10	10	10	10	10	10
7-Can8ConNon-B8	B8	Con	Non	Can	4718	10	6042	7274	7884	8363	9465	12348	12877	12532	10	10	10	10	10	10	10	10
8-Ita8ConNon-B8	B8	Con	Non	Ita	5822	10	6656	8788	9676	10875	11582	14261	14399	14113	10	10	10	10	10	10	10	10
9-Gre8ConNon-B8	B8	Con	Non	Gre	4790	10	6696	7222	8235	9326	10275	12273	12520	12546	10	10	10	10	10	10	10	10
10-Gre8BacSer-B8	B8	Bac	Ser	Gre	6575	10	7348	7525	7381	8527	8730	9554	9339	7728	10	10	10	10	9	9	8	7
11-Ita8BacSer-B8	B8	Bac	Ser	Ita	4644	10	5362	5905	6099	7040	7976	9117	8946	9228	9	9	9	9	9	9	8	8
12-Can8BacSer-B8	B8	Bac	Ser	Can	4973	10	5683	6359	6372	6956	7936	8462	8725	8589	10	10	10	10	10	10	9	9
13-Gre8LevSte-B8	B8	Lev	Ste	Gre	6107	10	6769	7060	8526	8921	9390	10498	8919	8860	10	9	9	9	9	8	7	7
14-Ita8LevSte-B8	B8	Lev	Ste	Ita	5582	10	6731	7368	7492	8155	9202	10621	10742	9343	9	9	9	9	9	8	8	7
15-Can8LevSte-B8	B8	Lev	Ste	Can	5343	10	5989	7851	7904	8637	9429	12030	11755	11525	10	10	10	10	10	9	9	9
16-Can8BacNon-B8	B8	Bac	Non	Can	4138	10	5184	6415	7298	8338	9185	11537	11469	11695	10	10	10	10	10	10	10	10
17-Gre8BacNon-B8	B8	Bac	Non	Gre	4789	10	6087	6558	7007	8444	9384	10634	11574	12001	9	9	9	9	9	9	9	9
18-Ita8BacNon-B8	B8	Bac	Non	Ita	4854	10	5509	6290	7781	8504	9541	12576	13022	12892	10	10	10	10	10	10	10	10
19-Ita8LevSer-B8	B8	Lev	Ser	Ita	5161	10	6062	6053	6093	6724	7486	9647	9259	9065	10	9	9	9	9	9	8	8
20-Can8LevSer-B8	B8	Lev	Ser	Can	4463	10	5081	5204	5849	6334	6806	7987	8705	8571	10	9	9	9	9	9	9	9
21-Gre8LevSer-B8	B8	Lev	Ser	Gre	5004	10	5822	6052	6619	7574	8018	8827	9989	10043	10	10	10	10	10	9	9	9
22-Ita8ConSte-B8	B8	Con	Ste	Ita	6660	10	7363	8155	9142	10089	9502	11308	10468	8963	10	10	10	10	9	9	8	7
23-Can8ConSte-B8	B8	Con	Ste	Can	4711	10	5307	5781	6056	6449	6704	7653	7659	7563	10	10	10	9	9	9	9	9
24-Gre8ConSte-B8	B8	Con	Ste	Gre	5112	10	5509	6718	7086	7953	9236	10999	11156	10709	9	9	9	9	9	9	9	9
25-Gre8LevNon-B8	B8	Lev	Non	Gre	5562	10	6199	6636	8844	9671	10825	12780	10368	10035	10	10	10	10	10	10	8	8
26-Ita8LevNon-B8	B8	Lev	Non	Ita	5588	10	6800	7679	8276	10024	10963	12694	12587	11400	10	10	10	10	10	10	10	9
27-Can8LevNon-B8	B8	Lev	Non	Can	3988	10	5701	6714	7087	7913	9014	11982	11549	11356	10	10	10	10	10	10	10	10
1-Gre9ConSer-B9	B9	Con	Ser	Gre	4955	10	5526	5760	7346	8410	9161	10836	11351	11299	10	10	10	9	9	9	8	9
2-Ita9ConSer-B9	B9	Con	Ser	Ita	5029	10	6140	6624	7175	8838	9080	9988	9785	8730	10	10	10	10	10	9	9	8
3-Can9ConSer-B9	B9	Con	Ser	Can	3755	10	4048	4566	5667	6442	6318	7582	8710	8868	10	10	10	10	10	9	9	9
4-Gre9LevSer-B9	B9	Lev	Ser	Gre	6684	10	7718	8352	8202	9655	10339	11415	11095	11089	10	9	9	9	9	9	9	9
5-Can9LevSer-B9	B9	Lev	Ser	Can	3079	10	3998	4361	5365	6909	7077	7769	9189	9645	10	10	10	10	9	9	9	9
6-Ita9LevSer-B9	B9	Lev	Ser	Ita	6812	10	7602	8497	8402	10153	10895	12503	11940	10962	10	10	10	10	10	10	10	9
7-Ita9BacSte-B9	B9	Bac	Ste	Ita	4505	10	4941	5299	5405	6061	6934	9227	9646	9621	10	9	8	7	8	8	8	8
8-Gre9BacSte-B9	B9	Bac	Ste	Gre	5191	10	6394	7523	7967	10068	10675	12648	13340	11811	10	10	10	10	10	10	10	9
9-Can9BacSte-B9	B9	Bac	Ste	Can	4447	10	5761	6998	7198	8801	9937	11375	11883	12424	10	10	10	10	10	10	10	10
10-Ita9BacNon-B9	B9	Bac	Non	Ita	5245	10	5715	6739	7910	9123	9999	12094	11149	11361	10	10	10	10	10	10	9	9
11-Gre9BacNon-B9	B9	Bac	Non	Gre	4454	10	6028	6985	7817	9590	10256	12197	13341	12284	10	10	10	10	10	10	10	9
12-Can9BacNon-B9	B9	Bac	Non	Can	4479	10	5477	6967	7365	9221	10262	11731	11920	12250	10	10	10	10	10	10	10	10
13-Ita9ConSte-B9	B9	Con	Ste	Ita	5052	10	5660	6885	6624	7856	8694	10036	9941	8666	9	9	9	8	8	8	8	7
14-Gre9ConSte-B9	B9	Con	Ste	Gre	5210	10	6436	8313	8798	11094	11647	13197	13154	12726	10	10	10	10	10	10	9	9
15-Can9ConSte-B9	B9	Con	Ste	Can	4316	10	5284	6225	6098	7781	8124	9254	9967	8740	10	10	10	9	9	9	9	8
16-Can9LevNon-B9	B9	Lev	Non	Can	4868	10	5475	5820	7522	8628	8793	11919	12415	12234	10	10	10	10	10	10	10	10
17-Gre9LevNon-B9	B9	Lev	Non	Gre	6532	10	7513	8350	9530	10869	11550	14090	14806	14289	10	10	10	10	10	10	10	10
18-Ita9LevNon-B9	B9	Lev	Non	Ita	4776	10	6313	6868	6946	9899	10285	11456	11524	8719	10	10	10	10	10	10	10	8
19-Gre9BacSer-B9	B9	Bac	Ser	Gre	5086	10	5620	6244	7031	8211	8574	10180	11035	11187	10	10	10	10	10	10	9	9
20-Ita9BacSer-B9	B9	Bac	Ser	Ita	4437	10	4641	4756	5534	6614	6997	8967	10044	10099	10	9	9	9	9	9	9	9
21-Can9BacSer-B9	B9	Bac	Ser	Can	4258	10	5192	5569	5613	5986	6364	7619	6443	6445	10	10	9	9	9	9	8	8
22-Can9LevSte-B9	B9	Lev	Ste	Can	4435	10	5268	5959	6889	7349	8005	10828	11147	10589	10	10	10	10	10	10	10	9
23-Gre9LevSte-B9	B9	Lev	Ste	Gre	5641	10	6431	7665	8146	8469	9305	11087	10932	9249	9	9	9	8	8	8	8	7
24-Ita9LevSte-B9	B9	Lev	Ste	Ita	5106	10	6122	7319	8297	8855	9788	12042	12556	12226	10	10	10	10	10	10	10	9
25-Gre9ConNon-B9	B9	Con	Non	Gre	4693	10	5941	6612	7453	9037	9371	11968	12497	12508	10	10	10	10	10	10	10	10
26-Ita9ConNon-B9	B9	Con	Non	Ita	5687	10	6985	7803	8937	10688	11425	12943	13161	11790	10	10	10	10	10	10	10	9
27-Can9ConNon-B9	B9	Con	Non	Can	4004	10	4756	6176	6470	7815	8657	10620	10621	10389	10	10	10	10	10	10	10	10
1-Ita10LevNon-B10	B10	Lev	Non	Ita	5893	11	6431	7521	8367	9150	10000	12342	12577	12449	10	10	10	10	10	10	10	10
2-Can10LevNon-B10	B10	Lev	Non	Can	4178	10	5319	6071	6857	6972	8651	10324	10574	10597	10	10	10	10	10	10	10	10
3-Gre10LevNon-B10	B10	Lev	Non	Gre	5793	10	7041	8347	9653	10937	12740	13949	14289	12895	10	10	10	10	10	10	10	9
4-Can10LevSer-B10	B10	Lev	Ser	Can	3856	10	4258	4648	5110	5630	6242	6410	6902	7030	10	10	10	10	10	10	10	10
5-Gre10LevSer-B10	B10	Lev	Ser	Gre	5483	10	5999	6604	7103	7705	8562	9565	9600	9565	10	10	10	10	10	10	9	9
6-Ita10LevSer-B10	B10	Lev	Ser	Ita	5268	10	6835	7253	7239	7559	8973	9882	9654	9536	10	9	9	9	9	9	9	9
7-Can10ConSte-B10	B10	Con	Ste	Can	3950	10	4329	5142	5672	6783	7956	9132	9337	8920	10	10	10	10	10	10	10	9
8-Ita10ConSte-B10	B10	Con	Ste	Ita	5432	10	6447	7546	8305	9299	11111	12521	12734	12696	10	10	10	10	10	10	10	10
9-Gre10ConSte-B10	B10	Con	Ste	Gre	4065	10	5664	5847	6589	7845	8473	8577	9015	9294	10	10	10	10	10	9	9	9
10-Can10ConNon-B10	B10	Con	Non	Can	4009	10	4872	5787	7055	7971	8866	10761	10904	10909	10	10	10	10	10	10	10	10
11-Ita10ConNon-B10	B10	Con	Non	Ita	4921	10	5799	6685	7915	9948	10974	12247	12982	13437	10	10	10	10	10	10	10	10
12-Gre10ConNon-B10	B10	Con	Non	Gre	4135	10	5877	7481	7804	8790	10607	12369	12335	12442	10	10	10	10	10	10	10	10
13-Can10BacSte-B10	B10	Bac	Ste	Can	3963	10	5245	6113	6190	7286	8826	9196	9096	9216	10	10	10	10	10	10	10	10
14-Gre10BacSte-B10	B10	Bac	Ste	Gre	5183	10	5154	6343	8218	8675	10542	12382	12334	12412	10	10	10	10	10	10	10	10
15-Ita10BacSte-B10	B10	Bac	Ste	Ita	4134	10	3654	4326	5840	5866	6859	9260	9709	9691	9	9	9	9	9	9	9	9
16-Ita10BacNon-B10	B10	Bac	Non	Ita	4116	9	6099	7097	7971	8699	10186	11413	11798	11665	10	10	10	10	10	10	10	10
17-Can10BacNon-B10	B10	Bac	Non	Can	4243	11	5315	5904	6887	7908	9003	10425	10795	10824	10	10	10	10	10	10	10	10
18-Gre10BacNon-B10	B10	Bac	Non	Gre	4326	10	5440	6211	6082	7841	9148	9926	10321	10752	10	9	9	9	9	9	9	9
19-Ita10LevSte-B10	B10	Lev	Ste	Ita	4527	10	5599	6163	6644	8362	9614	10451	10622	9771	10	10	10	10	10	10	10	9
20-Can10LevSte-B10	B10	Lev	Ste	Can	4740	10	5524	6733	7277	7954	10152	11817	11844	11829	10	10	10	10	10	10	10	10
21-Gre10LevSte-B10	B10	Lev	Ste	Gre	5142	10	6059	6855	7998	8522	10557	11942	12174	10520	10	10	10	10	10	10	10	9
22-Ita10ConSer-B10	B10	Con	Ser	Ita	4888	10	5022	4629	6135	6922	7626	9018	9648	9836	10	9	9	9	9	8	8	8
23-Can10ConSer-B10	B10	Con	Ser	Can	3981	10	4568	5072	5639	6232	7328	8347	8721	8777	10	10	10	10	10	10	10	10
24-Gre10ConSer-B10	B10	Con	Ser	Gre	3890	10	4340	5050	5661	6783	7834	9031	9525	9487	10	10	10	10	10	10	10	10
25-Ita10BacSer-B10	B10	Bac	Ser	Ita	3703	10	4057	4094	4511	4915	5958	6492	6151	6322	10	9	9	9	9	9	8	8
26-Can10BacSer-B10	B10	Bac	Ser	Can	4580	10	4395	5088	4542	4817	5627	5841	5889	5865	9	9	8	8	8	8	8	8
27-Gre10BacSer-B10	B10	Bac	Ser	Gre	5357	10	6105	6704	6962	9358	9977	10253	11204	11600	10	10	10	10	10	10	10	10
