Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Italie	ItaPSte	4	P	Ste	10	10	10	7	7	2	0	0	0	0	0	0
Grèce	GrePBact	4	P	Bact	10	10	10	8	6	3	0	0	0	0	0	0
Canada	CanPBact	4	P	Bact	10	10	10	10	10	2	2	1	1	1	0	0
Italie	ItaPBact	4	P	Bact	10	10	10	5	2	1	1	0	0	0	0	0
Grèce	GreCBact	4	C	Bact	10	10	10	8	5	2	0	0	0	0	0	0
Italie	ItaCBact	4	C	Bact	10	10	10	5	4	0	0	0	0	0	0	0
Canada	CanCBact	4	C	Bact	10	10	9	8	8	3	0	0	0	0	0	0
Grèce	GreEBact	4	E	Bact	10	10	10	10	7	6	2	1	1	1	1	1
Canada	CanEBact	4	E	Bact	10	10	10	10	10	10	7	5	2	2	2	1
Italie	ItaEBact	4	E	Bact	10	10	10	10	9	8	5	4	3	1	1	1
Italie	ItaDBact	4	D	Bact	10	10	10	9	8	3	1	0	0	0	0	0
Canada	CanDBact	4	D	Bact	10	10	10	9	8	5	2	1	0	0	0	0
Grèce	GreDBact	4	D	Bact	10	10	10	8	5	2	1	0	0	0	0	0
Canada	CanDSte	4	D	Ste	10	9	9	8	8	4	2	0	0	0	0	0
Italie	ItaDSte	4	D	Ste	10	10	10	6	5	1	0	0	0	0	0	0
Grèce	GreDSte	4	D	Ste	10	10	10	10	8	4	1	1	0	0	0	0
Grèce	GreCSte	4	C	Ste	10	10	10	10	9	6	4	1	1	0	0	0
Canada	CanCSte	4	C	Ste	10	10	10	8	9	5	2	2	1	0	0	0
Italie	ItaCSte	4	C	Ste	10	10	10	8	4	1	0	0	0	0	0	0
Canada	CanESte	4	E	Ste	10	10	10	10	10	10	7	6	3	3	2	2
Grèce	GreESte	4	E	Ste	10	10	10	10	9	7	5	2	0	0	0	0
Italie	ItaESte	4	E	Ste	10	10	10	9	6	3	3	2	2	0	0	0
Grèce	GreCSte	5	C	Ste	10	10	10	10	8	3	1	0	0	0	0	0
Canada	CanCSte	5	C	Ste	10	10	10	9	10	6	3	1	1	1	1	1
Italie	ItaCSte	5	C	Ste	10	10	10	8	6	2	0	0	0	0	0	0
Italie	ItaEBact	5	E	Bact	10	10	10	9	9	8	6	5	5	3	2	2
Canada	CanEBact	5	E	Bact	10	10	10	10	10	9	8	7	4	4	4	3
