Bloc	Rep	Trt	2	3	4	5	6	7	8	9	10	11	12	13	14	15
B1	Inv2B1	B	9	9	8	8	8	8	8	8	8	8	8	8	8	8
B1	EspC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	Inv1C1	C	10	10	10	10	10	10	10	9	9	9	9	8	8	8
B1	Ita1C1	C	10	10	9	9	9	9	9	9	9	9	8	8	8	8
B1	WorB1	B	9	9	9	9	9	9	9	9	9	9	9	9	9	8
B1	TurB1	B	9	9	9	9	9	9	9	9	9	8	8	8	7	7
B1	EspB1	B	10	10	9	9	9	9	9	9	9	9	9	9	9	9
B1	FraC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	TurC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	WorC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	GreC1	C	10	10	10	10	10	10	10	10	10	9	9	9	9	9
B1	Inv2C1	C	10	10	10	10	10	10	10	10	10	10	9	9	9	9
B1	Inv1B1	B	10	10	10	10	10	10	10	8	8	8	8	8	8	7
B1	FraB1	B	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	AllB1	B	9	9	9	9	9	9	9	9	9	9	9	9	9	9
B1	GreB1	B	10	10	10	10	10	10	10	10	10	9	9	9	9	9
B1	Ita1B1	B	10	10	10	10	10	9	9	9	9	9	7	7	7	7
B1	Ita2B1	B	10	10	10	10	10	10	10	9	9	9	7	6	6	6
B1	Ita2C1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B1	AllC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	TurC2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	Inv2B2	B	9	9	9	8	8	8	8	8	8	8	8	8	8	8
B2	Ita2B2	B	8	8	8	8	8	8	8	8	8	8	8	7	7	7
B2	AllB2	B	9	9	9	9	9	9	9	9	9	9	9	8	8	8
B2	AllC2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	TurB2	B	7	7	7	7	7	7	7	7	7	7	7	7	6	6
B2	GreB2	B	10	10	10	10	10	10	10	10	10	9	9	9	9	9
B2	Ita1C2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	FraB2	B	10	10	10	10	10	10	10	10	10	10	10	10	9	9
B2	EspB2	B	10	10	10	10	10	10	9	9	9	9	9	9	8	8
B2	FraC2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	Inv2C2	C	10	10	10	10	10	10	9	9	9	9	9	9	9	9
B2	Inv1C2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	GreC2	C	10	10	10	10	10	10	10	10	10	9	9	9	9	9
B2	EspC2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	WorC2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	WorB2	B	7	7	7	7	7	7	7	7	7	7	7	7	7	7
B2	Ita2C2	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B2	Ita1B2	B	9	9	9	9	9	9	9	9	9	9	8	7	7	7
B2	Inv1B2	B	10	10	10	9	9	9	8	8	8	8	8	6	5	5
B3	Inv2B3	B	9	8	8	7	7	7	7	7	7	7	7	7	7	7
B3	EspB3	B	8	8	8	8	8	8	8	8	7	6	6	6	6	6
B3	Inv1C3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	AllB3	B	10	10	9	9	9	9	9	9	9	9	9	9	9	9
B3	Inv1B3	B	9	8	8	8	8	8	8	7	6	4	4	4	4	4
B3	GreC3	C	10	10	10	10	10	10	10	9	9	9	9	9	9	9
B3	Ita1C3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	WorC3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	EspC3	C	9	9	9	9	8	8	8	8	8	8	8	8	8	8
B3	AllC3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	WorB3	B	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	Inv2C3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	FraB3	B	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	Ita2B3	B	10	10	10	10	10	10	10	10	10	10	9	9	8	7
B3	Ita1B3	B	8	8	8	8	8	8	8	7	7	6	6	6	6	6
B3	GreB3	B	10	10	10	10	10	10	10	10	10	10	10	9	9	9
B3	TurC3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	TurB3	B	10	10	10	10	10	10	10	10	10	10	9	8	8	8
B3	FraC3	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B3	Ita2C3	C	10	10	10	10	10	10	10	10	9	9	9	9	8	8
B4	Inv1B4	B	10	10	10	10	10	10	10	10	10	10	10	9	9	8
B4	TurC4	C	10	10	10	10	10	9	9	9	9	9	9	9	9	9
B4	Inv2B4	B	8	8	8	8	8	8	8	8	8	8	8	8	8	7
B4	Ita1B4	B	10	10	10	10	10	10	9	9	7	7	7	7	7	7
B4	GreB4	B	9	9	9	9	9	9	9	9	9	9	9	9	9	8
B4	Ita2C4	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B4	EspB4	B	9	9	9	8	8	8	8	8	8	8	8	8	8	8
B4	Ita1C4	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B4	Ita2B4	B	10	10	10	10	10	10	10	10	10	10	10	10	10	9
B4	FraB4	B	10	9	9	9	9	9	9	9	9	9	9	9	9	9
B4	FraC4	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
