Colonie	Nombre	Incubateur	Bloc	Traitement	Piqure	code_names	randomized_vector
Grèce	10	Aléatoire	B4	Contrôle	Non	Gre4ConNon	5
Italie	10	Aléatoire	B4	Contrôle	Non	Ita4ConNon	6
Canada	10	Aléatoire	B4	Levucell	Non	Can4LevNon	7
Grèce	10	Aléatoire	B4	Levucell	Non	Gre4LevNon	8
Italie	10	Aléatoire	B4	Levucell	Non	Ita4LevNon	9
Canada	10	Aléatoire	B4	Bactocell	Serratia	Can4BacSer	10
Grèce	10	Aléatoire	B4	Bactocell	Serratia	Gre4BacSer	11
Italie	10	Aléatoire	B4	Bactocell	Serratia	Ita4BacSer	12
Canada	10	Aléatoire	B4	Contrôle	Serratia	Can4ConSer	13
Grèce	10	Aléatoire	B4	Contrôle	Serratia	Gre4ConSer	14
Italie	10	Aléatoire	B4	Contrôle	Serratia	Ita4ConSer	15
Canada	10	Aléatoire	B4	Levucell	Serratia	Can4LevSer	16
Grèce	10	Aléatoire	B4	Levucell	Serratia	Gre4LevSer	17
Italie	10	Aléatoire	B4	Levucell	Serratia	Ita4LevSer	18
Canada	10	Aléatoire	B4	Bactocell	Stérile	Can4BacSte	19
Grèce	10	Aléatoire	B4	Bactocell	Stérile	Gre4BacSte	20
Italie	10	Aléatoire	B4	Bactocell	Stérile	Ita4BacSte	21
Canada	10	Aléatoire	B4	Contrôle	Stérile	Can4ConSte	22
Grèce	10	Aléatoire	B4	Contrôle	Stérile	Gre4ConSte	23
Italie	10	Aléatoire	B4	Contrôle	Stérile	Ita4ConSte	24
Canada	10	Aléatoire	B4	Levucell	Stérile	Can4LevSte	25
Grèce	10	Aléatoire	B4	Levucell	Stérile	Gre4LevSte	26
Italie	10	Aléatoire	B4	Levucell	Stérile	Ita4LevSte	27
Canada	10	Aléatoire	B5	Bactocell	Non	Can5BacNon	1
Grèce	10	Aléatoire	B5	Bactocell	Non	Gre5BacNon	2
Italie	10	Aléatoire	B5	Bactocell	Non	Ita5BacNon	3
Canada	10	Aléatoire	B5	Contrôle	Non	Can5ConNon	4
Grèce	10	Aléatoire	B5	Contrôle	Non	Gre5ConNon	5
Italie	10	Aléatoire	B5	Contrôle	Non	Ita5ConNon	6
Canada	10	Aléatoire	B5	Levucell	Non	Can5LevNon	7
Grèce	10	Aléatoire	B5	Levucell	Non	Gre5LevNon	8
Italie	10	Aléatoire	B5	Levucell	Non	Ita5LevNon	9
Canada	10	Aléatoire	B5	Bactocell	Serratia	Can5BacSer	10
Grèce	10	Aléatoire	B5	Bactocell	Serratia	Gre5BacSer	11
Italie	10	Aléatoire	B5	Bactocell	Serratia	Ita5BacSer	12
Canada	10	Aléatoire	B5	Contrôle	Serratia	Can5ConSer	13
Grèce	10	Aléatoire	B5	Contrôle	Serratia	Gre5ConSer	14
Italie	10	Aléatoire	B5	Contrôle	Serratia	Ita5ConSer	15
Canada	10	Aléatoire	B5	Levucell	Serratia	Can5LevSer	16
Grèce	10	Aléatoire	B5	Levucell	Serratia	Gre5LevSer	17
Italie	10	Aléatoire	B5	Levucell	Serratia	Ita5LevSer	18
Canada	10	Aléatoire	B5	Bactocell	Stérile	Can5BacSte	19
Grèce	10	Aléatoire	B5	Bactocell	Stérile	Gre5BacSte	20
Italie	10	Aléatoire	B5	Bactocell	Stérile	Ita5BacSte	21
Canada	10	Aléatoire	B5	Contrôle	Stérile	Can5ConSte	22
Grèce	10	Aléatoire	B5	Contrôle	Stérile	Gre5ConSte	23
Italie	10	Aléatoire	B5	Contrôle	Stérile	Ita5ConSte	24
Canada	10	Aléatoire	B5	Levucell	Stérile	Can5LevSte	25
Grèce	10	Aléatoire	B5	Levucell	Stérile	Gre5LevSte	26
Italie	10	Aléatoire	B5	Levucell	Stérile	Ita5LevSte	27
Canada	10	Aléatoire	B6	Bactocell	Non	Can6BacNon	1
Grèce	10	Aléatoire	B6	Bactocell	Non	Gre6BacNon	2
Italie	10	Aléatoire	B6	Bactocell	Non	Ita6BacNon	3
Canada	10	Aléatoire	B6	Contrôle	Non	Can6ConNon	4
Grèce	10	Aléatoire	B6	Contrôle	Non	Gre6ConNon	5
Italie	10	Aléatoire	B6	Contrôle	Non	Ita6ConNon	6
Canada	10	Aléatoire	B6	Levucell	Non	Can6LevNon	7
Grèce	10	Aléatoire	B6	Levucell	Non	Gre6LevNon	8
Italie	10	Aléatoire	B6	Levucell	Non	Ita6LevNon	9
Canada	10	Aléatoire	B6	Bactocell	Serratia	Can6BacSer	10
Grèce	10	Aléatoire	B6	Bactocell	Serratia	Gre6BacSer	11
Italie	10	Aléatoire	B6	Bactocell	Serratia	Ita6BacSer	12
