Rep	Strain	0	0		Bloc	Rep	Trt	1	2	3	4	5	6	7	8	9	10	11	12	13	14	1	2	3	4	5	6	7	8	9	10	11	12	13	14	Bloc	Rep	Trt	1	2	3	4	5	6	7	8	9	10	11	12	13	14
AllC1	All	3080	10		B1	Inv2B1	B	2050	2241	2213	2536	2475	2511	2755	3022	2952	3341	3520	4038	4192	4160	9	9	8	8	8	8	8	8	8	8	8	8	8	8	B1	Inv2B1	B	9	9	8	8	8	8	8	8	8	8	8	8	8	8
AllB1	All	2528	10		B1	EspC1	C	2188	2760	3046	3181	3246	3431	3652	3997	3987	4540	4787	5079	5053	5476	10	10	10	10	10	10	10	10	10	10	10	10	10	10	B1	EspC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
AllC2	All	2992	10		B1	Inv1C1	C	3129	3504	3643	3809	3937	4013	4242	4667	4808	4669	5052	4710	4746	4751	10	10	10	10	10	10	10	9	9	9	9	8	8	8	B1	Inv1C1	C	10	10	10	10	10	10	10	9	9	9	9	8	8	8
AllB2	All	2601	10		B1	Ita1C1	C	2962	3062	3372	2825	3083	3253	3418	3412	3502	3942	4099	4345	4508	4624	10	10	9	9	9	9	9	9	9	9	8	8	8	8	B1	Ita1C1	C	10	10	9	9	9	9	9	9	9	9	8	8	8	8
AllC3	All	3141	10		B1	WorB1	B	1942	2133	2310	2832	2896	3017	3020	3214	3568	3479	3737	3966	3967	4306	9	9	9	9	9	9	9	9	9	9	9	9	9	8	B1	WorB1	B	9	9	9	9	9	9	9	9	9	9	9	9	9	8
AllB3	All	3306	10		B1	TurB1	B	2899	3037	3174	3476	3575	3491	3553	3954	4136	4349	4325	4406	4617	4683	9	9	9	9	9	9	9	9	9	8	8	8	7	7	B1	TurB1	B	9	9	9	9	9	9	9	9	9	8	8	8	7	7
AllC4	All	2432	10		B1	EspB1	B	2304	2911	3154	3264	3203	3486	3670	3823	4005	4296	4720	5105	5329	5643	10	10	9	9	9	9	9	9	9	9	9	9	9	9	B1	EspB1	B	10	10	9	9	9	9	9	9	9	9	9	9	9	9
AllB4	All	3744	10		B1	FraC1	C	2264	2538	2745	3180	3146	3266	3274	3577	3587	4273	4481	4553	5417	5168	10	10	10	10	10	10	10	10	10	10	10	10	10	10	B1	FraC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
AllC5	All	2619	10		B1	TurC1	C	3084	3668	3834	4089	4385	4582	4511	4735	4897	5409	5941	6508	6843	6681	10	10	10	10	10	10	10	10	10	10	10	10	10	10	B1	TurC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
AllB5	All	3343	10		B1	WorC1	C	2679	2982	3145	3441	3434	3636	3733	3837	4355	4480	4254	4804	5010	4970	10	10	10	10	10	10	10	10	10	10	10	10	10	10	B1	WorC1	C	10	10	10	10	10	10	10	10	10	10	10	10	10	10
AllC6	All	3424	10		B1	GreC1	C	2124	2636	2476	3005	3036	3137	3304	3802	3872	3970	4413	4599	4731	4904	10	10	10	10	10	10	10	10	10	9	9	9	9	9	B1	GreC1	C	10	10	10	10	10	10	10	10	10	9	9	9	9	9
AllB6	All	2698	10		B1	Inv2C1	C	2454	2846	3080	3376	3518	3657	3962	3997	4143	4360	4450	4869	5247	5394	10	10	10	10	10	10	10	10	10	10	9	9	9	9	B1	Inv2C1	C	10	10	10	10	10	10	10	10	10	10	9	9	9	9
