NomTrt	M2M1	M3M2	M4M3	M5M4	M6M5	M7M6	M8M7	M9M8	M10M9	M11M10	M12M11	M13M12	M14M13
Inv2C5	48	23	26	3	2	22	56	51	65	11	18	24	24
FraB5	52	17	19	9	-4	24	29	47	53	6	17	35	-6
GreB5	30	17	31	-5	-16	29	59	67	30	31	170	-133	1
Inv2B5	35	22	7	11	8	-6	23	35	47	19	29	26	2
WorB5	26	12	12	23	15	25	22	52	-445	489	4	83	30
FraC5	53	12	20	49	-3	28	17	48	31	41	48	48	46
Ita2B5	53	32	-21	47	27	-11	29	23	67	17	31	22	24
AllC5	45	9	28	59	-18	5	34	29	40	24	4	47	-6
Inv1B6	6	33	29	-8	-4	12	15	71	10	28	174	5	-1
GreB6	20	19	23	0	23	14	40	-7	41	27	43	13	83
Inv2B6	75	20	22	5	-8	61	18	-8	85	39	88	4	14
Ita2C6	33	34	20	6	16	32	38	3	25	23	87	14	21
AllC6	84	59	34	3	35	7	23	29	17	26	33	44	-12
EspB6	28	18	16	12	15	22	45	38	9	17	6	72	-27
Ita2B6	29	13	21	5	7	40	55	-403	438	8	15	18	16
EspC6	MV	-23	22	-95	118	38	21	44	62	14	40	45	38
FraB6	51	5	22	4	29	-16	20	65	6	50	4	14	-8
WorC6	58	15	50	-5	7	23	38	28	34	26	77	17	18
Inv2C6	46	50	14	5	-16	71	50	151	-61	12	35	-2	6
TurC6	71	45	35	-15	55	-26	107	12	40	1	29	37	39
Ita1C6	33	28	21	10	6	23	64	21	40	18	33	20	22
WorB6	36	27	21	21	-5	16	7	13	30	-12	-7	38	160
FraC6	45	9	27	25	-2	23	56	39	4	21	20	57	35
Inv1C6	57	39	14	13	-5	21	53	57	42	44	28	44	19
Ita1B6	52	24	28	-8	3	25	36	22	29	5	44	35	8
AllB6	51	11	27	16	-19	25	52	3	44	-4	21	89	-38
GreC6	37	17	16	-2	1	25	67	15	50	-4	26	2	9
TurB6	32	7	18	-3	15	12	25	50	-8	1	29	28	45
TurC7	49	15	36	1	-1	26	39	7	81	8	43	10	2
Inv1C7	48	20	-1	12	14	47	46	39	42	9	44	7	2
EspC7	21	28	28	25	13	23	49	-4	69	16	41	53	5
Ita1C7	62	10	37	2	4	22	39	-13	52	3	-38	98	32
Ita2C7	36	6	23	21	20	12	38	23	29	82	18	57	40
WorC7	41	13	27	13	17	9	24	6	50	2	68	0	39
Inv2B7	19	14	40	-3	12	15	44	20	35	0	50	-28	15
Ita2B7	38	24	38	76	-46	-8	1	51	27	4	97	25	12
FraB7	53	16	8	17	36	36	28	25	-10	16	3	35	30
GreC7	41	29	0	2	37	64	1	-11	-11	113	55	32	27
TurB7	59	24	31	25	21	-32	40	29	68	41	-95	89	2
