Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Canada	CanDSte	3	D	Ste	3319	5683	8958	11230	10863	6841	2612	1142	NA	NA	NA	NA
Italie	ItaDSte	3	D	Ste	3967	7016	11018	8816	3738	371	1233	1275	NA	NA	NA	NA
Italie	ItaESte	3	E	Ste	4660	6594	8461	8395	10045	8149	3085	3284	3509	1950	866	922
Canada	CanESte	3	E	Ste	3644	5370	6571	8097	11146	7980	5179	3648	3503	3649	4005	4106
Grèce	GreESte	3	E	Ste	4000	5965	7211	7681	9106	8795	7499	5284	5155	845	898	852
Grèce	GreCSte	3	C	Ste	4008	6987	10221	10709	9819	8701	3073	NA	NA	NA	NA	NA
Canada	CanCSte	3	C	Ste	3132	4661	7663	9253	11697	5468	1487	NA	NA	NA	NA	NA
Italie	ItaCSte	3	C	Ste	4362	8069	10773	8832	6889	2832	NA	NA	NA	NA	NA	NA
Italie	ItaEBact	3	E	Bact	4807	6915	9052	8796	7798	7862	3637	2896	2855	1676	1592	1702
Canada	CanEBact	3	E	Bact	3439	5095	6684	7661	9926	9958	435	9750	7010	4239	2231	2166
Grèce	GreEBact	3	E	Bact	4116	5929	7230	8298	11258	9510	7482	9100	4605	2070	2124	2229
Italie	ItaPSte	3	P	Ste	3593	6975	10482	9603	7336	1297	NA	NA	NA	NA	NA	NA
Grèce	GrePSte	3	P	Ste	3651	6266	9787	12225	12894	7276	2831	NA	NA	NA	NA	NA
Canada	CanPSte	3	P	Ste	4046	6950	9658	9909	9175	6875	3743	1146	NA	NA	NA	NA
Canada	CanPSte	4	P	Ste	3859	6276	9127	10700	11912	11490	10190	6413	4656	3026	1757	NA
Grèce	GrePSte	4	P	Ste	3557	6690	9378	10209	14006	9402	1191	1512	NA	NA	NA	NA
Italie	ItaPSte	4	P	Ste	4203	7420	10718	8852	10057	3106	NA	NA	NA	NA	NA	NA
Grèce	GrePBact	4	P	Bact	4134	7563	11390	10448	9672	4925	NA	NA	NA	NA	NA	NA
Canada	CanPBact	4	P	Bact	4130	6454	10006	11596	13523	2450	2660	1210	1415	1504	NA	NA
Italie	ItaPBact	4	P	Bact	4829	8505	11607	6055	3130	1758	1646	NA	NA	NA	NA	NA
Grèce	GreCBact	4	C	Bact	4206	7420	10269	9666	6974	3180	NA	NA	NA	NA	NA	NA
Italie	ItaCBact	4	C	Bact	4833	8154	11535	6881	6046	NA	NA	NA	NA	NA	NA	NA
Canada	CanCBact	4	C	Bact	4306	7046	9289	9045	10207	4132	NA	NA	NA	NA	NA	NA
Grèce	GreEBact	4	E	Bact	4694	6963	8831	10358	8393	8693	2761	1430	1702	1567	1770	1654
Canada	CanEBact	4	E	Bact	3652	5288	6986	7851	10295	11890	8606	6020	2040	2002	2033	972
