B4	Inv1C4	C	218	287	318	323	337	339	339	392	428	504	543	566	577	584
B4	EspC4	C	288	344	326	373	390	414	417	500	516	578	576	596	657	705
B4	GreC4	C	277	352	388	421	445	435	444	455	496	571	638	695	714	719
B4	AllB4	B	350	449	486	528	522	519	553	566	555	588	589	624	647	692
B4	WorB4	B	244	266	275	295	298	307	343	346	384	424	427	441	440	475
B4	Inv2C4	C	219	269	294	329	346	350	355	379	415	444	478	571	592	583
B4	TurB4	B	344	419	412	453	453	460	460	491	533	604	623	628	697	743
B4	AllC4	C	262	383	339	367	393	386	401	399	399	416	463	550	534	600
B4	WorC4	C	244	297	313	328	328	337	375	378	397	438	441	496	528	580
B5	Ita1B5	B	315	380	403	440	462	474	486	478	517	574	640	702	712	756
B5	Inv1B5	B	307	330	363	370	382	387	398	413	463	499	528	555	569	615
B5	EspB5	B	267	292	307	321	345	341	351	394	420	454	456	464	530	530
B5	GreC5	C	288	332	357	375	373	383	426	471	548	586	607	615	594	646
B5	AllB5	B	350	496	423	465	474	478	504	508	532	546	589	598	626	646
B5	Inv1C5	C	258	355	312	327	342	324	353	376	400	442	466	490	630	583
B5	WorC5	C	216	256	307	325	343	338	347	375	408	466	489	511	536	569
B5	Ita2C5	C	264	332	350	363	411	402	406	415	487	566	565	622	621	661
B5	EspC5	C	240	282	300	327	356	370	385	412	451	499	517	566	626	684
B5	TurB5	B	345	390	418	445	447	456	489	532	557	621	666	677	746	739
B5	TurC5	C	309	361	388	422	430	422	443	492	566	558	578	657	668	685
B5	Ita1C5	C	230	282	335	353	393	385	399	414	472	508	540	544	591	630
B5	Inv2C5	C	207	255	277	303	307	308	330	386	437	502	512	530	554	579
B5	FraB5	B	237	289	307	325	334	330	355	384	431	484	490	506	541	535
B5	GreB5	B	301	331	348	379	374	403	436	446	513	543	574	601	611	612
B5	Inv2B5	B	216	252	274	281	292	300	294	317	352	399	418	448	473	476
B5	WorB5	B	313	339	351	364	387	402	427	449	501	536	545	550	632	662
B5	FraC5	C	236	289	301	321	370	367	396	413	461	493	534	582	629	675
B5	Ita2B5	B	293	346	378	357	404	431	421	450	473	540	557	588	609	633
B5	AllC5	C	320	365	374	402	461	443	448	482	511	551	575	579	626	620
B6	Inv1B6	B	293	300	333	362	354	350	362	377	448	457	486	660	665	665
B6	GreB6	B	324	344	363	386	386	409	423	463	456	497	524	567	579	662
B6	Inv2B6	B	204	279	299	321	326	318	378	397	430	473	512	600	604	618
B6	Ita2C6	C	266	298	333	352	358	374	406	443	446	470	493	580	595	615
B6	AllC6	C	363	447	506	540	543	577	584	608	636	653	679	713	756	744
B6	EspB6	B	285	314	332	348	360	375	397	443	480	489	506	513	524	557
B6	Ita2B6	B	271	300	313	333	338	346	386	441	450	475	483	498	516	532
B6	EspC6	C	314	370	347	369	380	393	431	452	496	558	572	611	657	694
B6	FraB6	B	239	290	295	317	321	320	334	354	419	425	474	479	493	485
B6	WorC6	C	232	290	305	355	350	357	380	418	446	480	506	583	599	618
B6	Inv2C6	C	247	293	342	356	361	345	415	466	516	555	567	603	601	607
B6	TurC6	C	287	358	403	438	424	419	453	559	571	611	612	641	678	717
B6	Ita1C6	C	288	321	349	370	380	386	409	474	495	535	553	586	607	628
B6	WorB6	B	230	266	292	313	334	329	346	352	365	395	383	470	518	574
B6	FraC6	C	219	264	272	300	324	323	346	402	441	444	465	485	542	577
B6	Inv1C6	C	291	347	386	400	413	408	429	482	539	580	624	652	696	714
B6	Ita1B6	B	268	320	344	372	364	367	392	428	450	479	484	528	563	571
B6	AllB6	B	289	341	351	378	395	423	451	453	457	501	497	518	566	569
B6	GreC6	C	255	292	309	325	323	323	349	415	430	480	477	502	504	513
B6	TurB6	B	309	340	347	365	362	377	389	414	463	456	457	486	514	559
B7	TurC7	C	268	317	332	367	368	367	394	432	439	521	528	572	582	583
B7	Inv1C7	C	273	321	341	340	352	366	412	458	497	539	548	591	598	599
B7	EspC7	C	296	317	345	374	398	412	435	484	480	549	565	606	659	664
B7	Ita1C7	C	273	335	344	381	383	387	409	447	434	486	489	518	550	582
B7	Ita2C7	C	285	321	327	350	371	391	402	440	463	492	574	592	648	688
B7	WorC7	C	263	304	317	345	358	375	384	408	414	463	466	534	534	573
B7	Inv2B7	B	197	216	230	270	267	279	294	338	358	393	393	443	414	430
B7	Ita2B7	B	285	322	346	384	397	414	406	407	458	484	488	585	610	622
B7	FraB7	B	263	316	332	340	357	393	429	456	481	471	488	491	526	556
B7	GreC7	C	280	321	350	350	353	389	453	454	493	532	546	600	633	660
B7	TurB7	B	291	350	374	405	430	421	419	459	487	556	597	562	591	593
B7	Inv1B7	B	304	321	314	328	355	384	424	423	434	487	476	470	479	550
B7	GreB7	B	278	305	335	379	391	412	440	459	466	511	550	616	675	714
B7	EspB7	B	309	324	352	362	396	396	442	462	441	465	473	524	530	554
B7	AllC7	C	329	425	406	435	464	458	467	509	542	580	594	624	649	655
B7	Ita1B7	B	307	343	375	388	409	413	433	485	488	599	641	723	692	738
B7	AllB7	B	354	399	388	411	454	426	469	462	476	526	531	594	573	577
B7	Inv2C7	C	229	266	286	312	313	335	340	406	458	470	471	546	545	588
B7	FraC7	C	276	329	350	390	380	422	505	511	539	600	608	657	691	707
B7	WorB7	B	186	216	223	249	252	307	315	378	413	442	428	459	486	455
B8	Inv1B8	B	286	325	351	369	396	408	411	421	430	512	558	570	596	601
B8	AllB8	B	379	399	405	411	428	446	462	472	484	523	593	608	625	643
B8	AllC8	C	366	435	464	485	514	513	534	566	579	610	626	740	750	780
B8	WorC8	C	235	312	299	301	305	336	330	378	410	453	453	497	528	498
B8	TurB8	B	270	344	337	351	361	394	368	371	399	417	427	461	482	493
B8	WorB8	B	326	358	380	387	417	430	426	465	487	530	550	591	625	607
B8	EspC8	C	256	322	334	350	364	393	397	412	402	534	559	577	612	692
B8	Ita2B8	B	301	338	366	360	378	407	434	446	470	536	581	581	665	675
B8	Inv2C8	C	246	282	312	331	338	381	391	417	429	486	495	505	552	574
B8	GreB8	B	272	304	316	336	344	361	361	392	525	480	480	527	533	562
B8	EspB8	B	318	373	387	393	417	460	482	497	518	716	797	785	827	854
B8	FraC8	C	225	259	264	277	304	345	330	370	395	424	433	451	481	510
B8	Ita1C8	C	232	271	296	305	313	334	347	398	407	463	483	490	509	493
B8	FraB8	B	219	234	240	245	257	255	257	266	300	330	349	379	365	342
B8	TurC8	C	354	418	455	475	491	521	512	533	556	630	665	712	750	723
B8	Ita2C8	C	291	313	334	340	365	383	388	411	397	481	501	512	511	512
B8	Inv2B8	B	226	229	262	256	261	281	277	285	298	314	357	373	392	388
B8	GreC8	C	260	324	346	359	355	423	430	465	516	568	557	579	630	651
B8	Inv1C8	C	228	284	298	336	332	368	378	421	475	519	568	603	600	614
B8	Ita1B8	B	324	356	387	401	436	446	471	492	498	579	610	607	621	589
B9	Ita1B9	B	193	257	257	275	288	308	321	332	388	429	460	577	577	579
B9	TurB9	B	299	340	343	356	371	399	421	465	452	502	513	523	523	547
B9	Inv2C9	C	223	246	257	292	301	297	318	352	386	406	456	474	484	534
B9	FraB9	B	202	240	257	281	300	291	284	398	376	412	429	464	490	473
B9	WorC9	C	339	379	398	394	437	457	488	536	544	560	601	699	708	765
B9	TurC9	C	394	429	475	518	540	545	561	594	626	725	767	835	881	890
B9	AllC9	C	303	378	378	390	409	426	429	478	511	549	574	616	648	640
B9	GreC9	C	313	351	363	385	420	432	461	511	544	631	659	722	717	773
B9	AllB9	B	288	342	337	345	356	360	379	402	410	471	488	480	519	583
B9	Inv2B9	B	203	256	265	286	292	295	314	328	353	380	422	475	431	440
B9	Inv1C9	C	289	323	330	346	360	379	420	446	481	529	547	594	616	672
B9	EspC9	C	208	269	280	310	367	381	370	396	452	476	514	574	582	651
B9	GreB9	B	269	280	289	311	331	340	339	366	393	481	539	528	569	610
B9	Ita2B9	B	236	322	329	338	352	361	383	421	437	474	487	490	514	578
B9	Inv1B9	B	269	284	291	301	314	337	342	397	421	419	446	466	529	547
B9	FraC9	C	260	313	306	330	364	361	402	420	448	505	521	551	588	629
B9	WorB9	B	265	306	311	350	361	407	376	392	418	456	461	490	455	488
B9	Ita2C9	C	341	384	403	426	451	456	475	500	539	611	653	729	751	780
B9	Ita1C9	C	324	366	388	426	445	458	459	480	505	598	653	688	740	837
B9	EspB9	B	301	321	338	388	394	421	413	455	467	464	461	526	518	509
B10	Ita1C10	C	288	356	379	427	423	424	431	458	472	524	563	608	616	715
B10	FraB10	B	185	205	219	245	247	255	270	280	321	335	358	350	338	358
B10	Ita1B10	B	281	308	318	360	353	355	375	369	385	400	390	388	451	485
B10	WorC10	C	221	265	283	307	325	329	333	360	405	440	475	461	523	539
B10	Inv1C10	C	278	367	384	396	398	421	444	497	566	609	655	690	685	748
B10	Ita2B10	B	318	362	375	388	410	403	424	435	502	542	586	640	678	634
B10	Inv2B10	B	220	261	280	298	300	297	294	347	396	454	490	505	502	740
B10	Inv1B10	B	307	329	343	373	379	379	381	407	462	561	571	589	611	561
B10	FraC10	C	199	251	269	298	299	312	327	351	389	417	454	482	523	505
B10	EspB10	B	292	319	321	342	362	392	404	398	417	469	520	542	557	580
B10	Ita2C10	C	273	327	333	344	351	376	406	438	440	508	518	516	496	526
B10	EspC10	C	255	297	317	334	356	363	376	407	438	448	495	528	530	616
B10	GreB10	B	272	301	310	323	352	354	387	401	411	471	510	637	705	717
B10	Inv2C10	C	238	292	309	319	346	346	390	412	443	523	570	605	635	692
B10	TurB10	B	355	422	452	460	477	503	499	512	551	607	694	700	711	791
B10	WorB10	B	234	271	294	323	347	358	367	379	383	484	478	490	523	556
B10	TurC10	C	311	372	397	422	444	433	449	500	519	586	638	679	680	705
B10	AllB10	B	331	388	404	450	484	477	492	485	510	570	631	642	715	723
B10	GreC10	C	285	357	368	386	416	396	406	466	530	574	586	642	654	683
B10	AllC10	C	358	447	478	500	512	521	515	564	580	600	671	757	719	731
