Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,16,849.7,16
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,18,830.2,18
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,2,17.700000000000045,2
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,4,95.5,4
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,7,301.4000000000001,7
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,9,356.70000000000005,9
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,11,554.7,11
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,14,749.9000000000001,14
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,16,716.3,16
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,18,685.2,18
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,2,232.3,2
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,4,303.99999999999994,4
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,7,287.2,7
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,9,387.2,9
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,11,479,11
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,14,616.9,14
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,16,713.2333333333332,16
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,18,755.525,18
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,2,114.5,2
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,4,196.19999999999993,4
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,7,294.5,7
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,9,392.4,9
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,11,485.70000000000005,11
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,14,675.1999999999999,14
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,16,689.5000000000001,16
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,18,690.0000000000001,18
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,2,86.30000000000001,2
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,4,177.80000000000007,4
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,7,304.6,7
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,9,396.20000000000005,9
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,11,394.6,11
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,14,580.9000000000001,14
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,16,607.1000000000001,16
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,18,602.8,18
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,2,52.60000000000002,2
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,4,152.70000000000005,4
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,7,201.9000000000001,7
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,9,323.20000000000005,9
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,11,252.2,11
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,14,532.3,14
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,16,551,16
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,18,538.2,18
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,2,9.900000000000034,2
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,4,45.69999999999999,4
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,7,210.2,7
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,9,222.7,9
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,11,553.6,11
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,14,778.4,14
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,16,816.6999999999999,16
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,18,841.6999999999999,18
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,2,127.89999999999998,2
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,4,255.79999999999995,4
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,7,308.69999999999993,7
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,9,447.29999999999995,9
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,11,256.33333333333326,11
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,14,389.44444444444446,14
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,16,455.44444444444446,16
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,18,290.5666666666666,18
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,2,18.66666666666663,2
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,4,53.366666666666674,4
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,7,102.86666666666667,7
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,9,164.44444444444446,9
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,11,375,11
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,14,470.20000000000005,14
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,16,565.7,16
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,18,580.3999999999999,18
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,2,66,2
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,4,83.19999999999993,4
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,7,144.5999999999999,7
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,9,292.0999999999999,9
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,11,588.4,11
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,14,668.4,14
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,16,735.8000000000001,16
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,18,771.1,18
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,2,171.70000000000005,2
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,4,201.5,4
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,7,220.30000000000007,7
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,9,457.70000000000005,9
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,11,312.5,11
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,14,404.05555555555566,14
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,16,509.875,16
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,18,446.5,18
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,2,77.29999999999995,2
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,4,95,4
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,7,80.60000000000002,7
10-Gre8BacSer-B8,B8,Bac,Ser,Gre,6575,10,657.5,Ser Bac,9,195.20000000000005,9
10-Ita7LevSte-B7,B7,Lev,Ste,Ita,5161,10,516.1,Ste Lev,11,420.4,11
