Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,9,268.2,9
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,11,421.50000000000006,11
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,14,563.3,14
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,16,633.5999999999999,16
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,18,631.8,18
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,2,33.900000000000034,2
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,4,113.00000000000006,4
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,7,244.40000000000003,7
12-Can5ConSte-B5,B5,Con,Ste,Can,4157,10,415.7,Ste Con,9,303.00000000000006,9
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,11,296.3,11
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,14,348.90000000000003,14
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,16,472.14444444444445,16
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,18,457.03333333333336,18
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,2,70.99999999999994,2
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,4,138.59999999999997,4
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,7,139.90000000000003,7
12-Can8BacSer-B8,B8,Bac,Ser,Can,4973,10,497.3,Ser Bac,9,198.3,9
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,11,578.3000000000001,11
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,14,725.1999999999999,14
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,16,744.1,16
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,18,777.1,18
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,2,99.80000000000007,2
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,4,248.80000000000007,4
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,7,288.6,7
12-Can9BacNon-B9,B9,Bac,Non,Can,4479,10,447.9,Non Bac,9,474.20000000000005,9
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,11,647.2,11
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,14,823.4000000000001,14
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,16,820,16
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,18,830.7,18
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,2,174.20000000000005,2
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,4,334.6,4
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,7,366.9,7
12-Gre10ConNon-B10,B10,Con,Non,Gre,4135,10,413.5,Non Con,9,465.5,9
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,11,577.4,11
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,14,887.9,14
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,16,993.6555555555557,16
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,18,926.4333333333333,18
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,2,133.39999999999998,2
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,4,311.6,4
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,7,408.4,7
12-Gre6BacSte-B6,B6,Bac,Ste,Gre,6499,10,649.9,Ste Bac,9,469.5000000000001,9
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,11,360.40000000000003,11
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,14,540.5,14
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,16,578.7,16
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,18,700.911111111111,18
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,2,78.90000000000003,2
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,4,135.2,4
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,7,228.90000000000003,7
12-Gre7LevSte-B7,B7,Lev,Ste,Gre,4832,10,483.2,Ste Lev,9,297.09999999999997,9
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,11,387.2555555555557,11
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,14,512.4777777777779,14
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,16,446.57500000000005,16
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,18,412.82500000000005,18
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,2,55.60000000000002,2
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,4,151.60000000000002,4
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,7,207.30000000000007,7
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,7033,10,703.3,Ser Lev,9,267.2555555555556,9
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,11,454.9000000000001,11
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,14,642.1000000000001,14
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,16,637.7555555555557,16
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,18,600.2,18
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,2,153.5,2
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,4,244,4
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,7,302.70000000000005,7
12-Ita4LevSte-B4,B4,Lev,Ste,Ita,5998,10,599.8,Ste Lev,9,394.20000000000005,9
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,11,486.3,11
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,14,523.3,14
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,16,513.3,16
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,18,525.3,18
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,2,128.2,2
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,4,214.99999999999994,4
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,7,222.7,7
13-Can10BacSte-B10,B10,Bac,Ste,Can,3963,10,396.3,Ste Bac,9,332.3,9
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,11,425.7,11
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,14,665,14
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,16,693.6000000000001,16
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,18,640.7,18
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,2,109.69999999999999,2
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,4,221.49999999999994,4
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,7,325.8,7
13-Can4ConSte-B4,B4,Con,Ste,Can,4718,10,471.8,Ste Con,9,350.8,9
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,11,427.6777777777778,11
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,14,556.1222222222221,14
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,16,640.5666666666667,16
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,18,627.7888888888889,18
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,2,105.01111111111106,2
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,4,196.7888888888889,4
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,7,231.5666666666666,7
13-Can7BacSte-B7,B7,Bac,Ste,Can,4471,10,447.1,Ste Bac,9,326.23333333333335,9
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,11,534.9000000000001,11
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,14,676.5,14
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,16,842.75,16
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,18,862.125,18
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,2,125.20000000000005,2
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,4,226.5,4
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,7,342.5,7
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,6100,10,610,Ste Bac,9,429.70000000000005,9
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,11,481.0999999999999,11
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,14,752.2777777777778,14
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,16,754.0555555555557,16
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,18,721.3888888888889,18
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,2,114.20000000000005,2
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,4,231.20000000000005,4
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,7,237.39999999999998,7
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,5975,10,597.5,Ste Lev,9,339.1,9
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,11,700.0555555555557,11
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,14,828.6111111111111,14
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,16,905.8333333333333,16
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,18,894.625,18
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,2,117.27777777777783,2
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,4,236.27777777777783,4
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,7,385.3888888888889,7
13-Gre5LevNon-B5,B5,Lev,Non,Gre,5535,10,553.5,Non Lev,9,549.1666666666667,9
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,11,432.6333333333332,11
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,14,701.55,14
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,16,663.4428571428571,16
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,18,655.0142857142857,18
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,2,66.19999999999993,2
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,4,173.7444444444444,4
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,7,336.6333333333333,7
13-Gre8LevSte-B8,B8,Lev,Ste,Gre,6107,10,610.7,Ste Lev,9,380.5222222222221,9
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,11,535.6999999999999,11
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,14,733.4999999999999,14
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,16,756.4,16
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,18,748.2333333333332,18
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,2,95.69999999999993,2
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,4,215,4
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,7,284.5,7
13-Ita3ConNon-B3,B3,Con,Non,Ita,7356,10,735.6,Non Con,9,459.69999999999993,9
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,11,494.9000000000001,11
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,14,702.6111111111111,14
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,16,665.1666666666667,16
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,18,649.8333333333333,18
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,2,123.29999999999995,2
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,4,250.5,4
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,7,232,7
13-Ita6LevSer-B6,B6,Lev,Ser,Ita,5595,10,559.5,Ser Lev,9,361.6,9
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,11,581.55,11
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,14,749.3,14
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,16,737.425,16
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,18,732.8,18
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,2,123.68888888888893,2
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,4,259.8,4
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,7,230.8,7
13-Ita9ConSte-B9,B9,Con,Ste,Ita,5052,10,505.2,Ste Con,9,476.8,9
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,11,417.80000000000007,11
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,14,576,14
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,16,594.6,16
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,18,570,18
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,2,70.60000000000002,2
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,4,158.89999999999998,4
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,7,230.10000000000002,7
14-Can2LevSte-B2,B2,Lev,Ste,Can,4264,10,426.4,Ste Lev,9,310.80000000000007,9
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,11,535.9000000000001,11
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,14,719.9000000000001,14
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,16,715.1000000000001,16
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,18,722.9000000000001,18
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,2,-2.8999999999999773,2
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,4,116,4
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,7,303.5,7
14-Gre10BacSte-B10,B10,Bac,Ste,Gre,5183,10,518.3,Ste Bac,9,349.20000000000005,9
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,11,544.5999999999999,11
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,14,739.3999999999999,14
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,16,870.7,16
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,18,891,18
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,2,204.3,2
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,4,244.8,4
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,7,316.00000000000006,7
14-Gre3ConNon-B3,B3,Con,Non,Gre,4677,10,467.7,Non Con,9,468.59999999999997,9
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,11,363.55555555555554,11
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,14,497,14
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,16,589.7777777777778,16
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,18,607.7777777777778,18
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,2,-0.8999999999999773,2
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,4,111.11111111111109,4
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,7,214,7
14-Gre4ConSte-B4,B4,Con,Ste,Gre,4980,10,498,Ste Con,9,319.33333333333337,9
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,11,405.08888888888896,11
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,14,580.9777777777779,14
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,16,551.7555555555557,16
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,18,552.8666666666668,18
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,2,6.5,2
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,4,197.86666666666667,4
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,7,190.20000000000005,7
14-Gre6LevSer-B6,B6,Lev,Ser,Gre,6048,10,604.8,Ser Lev,9,328.5333333333334,9
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,11,464.9,11
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,14,692.6999999999999,14
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,16,827.3444444444443,16
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,18,839.4555555555556,18
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,2,109.60000000000002,2
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,4,208.19999999999993,4
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,7,256.6,7
14-Gre7BacSte-B7,B7,Bac,Ste,Gre,5881,10,588.1,Ste Bac,9,385,9
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,11,643.7,11
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,14,798.7,14
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,16,940.5555555555557,16
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,18,893,18
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,2,122.60000000000002,2
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,4,310.29999999999995,4
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,7,358.79999999999995,7
14-Gre9ConSte-B9,B9,Con,Ste,Gre,5210,10,521,Ste Con,9,588.4000000000001,9
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,11,417.65555555555557,11
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,14,627.7666666666668,14
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,16,681.475,16
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,18,678.975,18
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,2,86.60000000000002,2
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,4,188.80000000000007,4
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,7,265.5444444444445,7
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,5999,10,599.9,Ste Bac,9,339.1,9
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,11,710.8,11
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,14,842.5,14
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,16,777.7,16
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,18,771,18
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,2,171.29999999999995,2
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,4,268.1,4
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,7,342.5,7
14-Ita5LevNon-B5,B5,Lev,Non,Ita,5800,10,580,Non Lev,9,535,9
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,11,464.2444444444444,11
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,14,769.425,14
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,16,784.55,16
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,18,776.5142857142857,18
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,2,189.68888888888887,2
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,4,260.4666666666666,4
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,7,274.2444444444444,7
14-Ita8LevSte-B8,B8,Lev,Ste,Ita,5582,10,558.2,Ste Lev,9,347.91111111111104,9
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,11,428.8,11
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,14,671.2,14
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,16,694.6000000000001,16
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,18,683.4000000000001,18
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,2,124.19999999999999,2
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,4,251.3,4
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,7,250.59999999999997,7
15-Can1BacSte-B1,B1,Bac,Ste,Can,4753,10,475.3,Ste Bac,9,317.90000000000003,9
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,11,467.5,11
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,14,651.6,14
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,16,739.0000000000001,16
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,18,741.6,18
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,2,96,2
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,4,167.60000000000002,4
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,7,252.39999999999998,7
15-Can3ConNon-B3,B3,Con,Non,Can,4179,10,417.9,Non Con,9,384.20000000000005,9
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,11,546.8333333333333,11
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,14,771.7222222222222,14
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,16,784.7222222222222,16
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,18,759.3888888888889,18
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,2,74.39999999999998,2
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,4,192.6111111111111,4
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,7,323.83333333333337,7
15-Can5LevNon-B5,B5,Lev,Non,Can,5125,10,512.5,Non Lev,9,382.5,9
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,11,357.74444444444447,11
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,14,501.85555555555555,14
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,16,611.175,16
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,18,622.3,18
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,2,41.80000000000001,2
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,4,138.3,4
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,7,177.74444444444447,7
15-Can6LevSer-B6,B6,Lev,Ser,Can,4747,10,474.7,Ser Lev,9,277.96666666666664,9
15-Can8LevSte-B8,B8,Lev,Ste,Can,5343,10,534.3,Ste Lev,11,408.6,11
15-Can8LevSte-B8,B8,Lev,Ste,Can,5343,10,534.3,Ste Lev,14,802.3666666666668,14
15-Can8LevSte-B8,B8,Lev,Ste,Can,5343,10,534.3,Ste Lev,16,771.8111111111111,16
15-Can8LevSte-B8,B8,Lev,Ste,Can,5343,10,534.3,Ste Lev,18,746.2555555555557,18
