Identity,Bloc,Trt,Wound,Strain,group,Time,Mort_Acc,Times
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,11,1,11
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,14,1,14
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,16,1,16
12-Ita2LevSer-B2,B2,Lev,Ser,Ita,Ita Ser,18,1,18
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,0,0,0
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,2,0,2
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,4,0,4
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,7,0,7
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,9,0,9
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,11,0,11
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,14,1,14
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,16,1,16
13-Gre2LevSte-B2,B2,Lev,Ste,Gre,Gre Ste,18,1,18
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,0,0,0
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,2,0,2
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,4,0,4
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,7,0,7
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,9,0,9
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,11,0,11
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,14,0,14
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,16,0,16
14-Can2LevSte-B2,B2,Lev,Ste,Can,Can Ste,18,0,18
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,0,0,0
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,2,0,2
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,4,0,4
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,7,0,7
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,9,0,9
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,11,0,11
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,14,0,14
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,16,0,16
15-Ita2LevSte-B2,B2,Lev,Ste,Ita,Ita Ste,18,0,18
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,0,0,0
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,2,0,2
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,4,1,4
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,7,1,7
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,9,1,9
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,11,1,11
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,14,2,14
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,16,2,16
16-Gre2ConSer-B2,B2,Con,Ser,Gre,Gre Ser,18,2,18
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,0,0,0
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,2,1,2
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,4,1,4
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,7,1,7
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,9,1,9
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,11,1,11
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,14,2,14
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,16,2,16
17-Ita2ConSer-B2,B2,Con,Ser,Ita,Ita Ser,18,2,18
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,0,0,0
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,2,0,2
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,4,1,4
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,7,1,7
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,9,1,9
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,11,1,11
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,14,1,14
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,16,1,16
18-Can2ConSer-B2,B2,Con,Ser,Can,Can Ser,18,1,18
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,0,0,0
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,2,0,2
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,4,0,4
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,7,0,7
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,9,0,9
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,11,0,11
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,14,0,14
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,16,0,16
19-Gre2ConSte-B2,B2,Con,Ste,Gre,Gre Ste,18,0,18
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,0,0,0
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,2,0,2
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,4,0,4
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,7,0,7
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,9,0,9
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,11,0,11
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,14,0,14
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,16,1,16
20-Ita2ConSte-B2,B2,Con,Ste,Ita,Ita Ste,18,1,18
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,0,0,0
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,2,0,2
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,4,0,4
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,7,0,7
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,9,0,9
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,11,0,11
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,14,0,14
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,16,0,16
21-Can2ConSte-B2,B2,Con,Ste,Can,Can Ste,18,1,18
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,0,0,0
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,2,0,2
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,4,0,4
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,7,0,7
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,9,0,9
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,11,0,11
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,14,0,14
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,16,0,16
22-Gre2BacSer-B2,B2,Bac,Ser,Gre,Gre Ser,18,0,18
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,0,0,0
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,2,1,2
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,4,2,4
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,7,3,7
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,9,3,9
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,11,3,11
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,14,3,14
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,16,3,16
23-Can2BacSer-B2,B2,Bac,Ser,Can,Can Ser,18,3,18
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,0,0,0
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,2,0,2
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,4,0,4
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,7,0,7
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,9,0,9
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,11,0,11
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,14,0,14
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,16,0,16
24-Ita2BacSer-B2,B2,Bac,Ser,Ita,Ita Ser,18,1,18
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,0,0,0
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,2,0,2
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,4,0,4
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,7,0,7
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,9,0,9
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,11,0,11
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,14,0,14
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,16,0,16
25-Ita2BacNon-B2,B2,Bac,Non,Ita,Ita Non,18,0,18
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,0,0,0
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,2,0,2
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,4,0,4
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,7,0,7
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,9,0,9
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,11,0,11
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,14,0,14
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,16,0,16
26-Gre2BacNon-B2,B2,Bac,Non,Gre,Gre Non,18,0,18
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,0,0,0
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,2,0,2
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,4,0,4
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,7,0,7
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,9,0,9
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,11,0,11
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,14,0,14
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,16,0,16
27-Can2BacNon-B2,B2,Bac,Non,Can,Can Non,18,0,18
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,0,0,0
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,2,0,2
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,4,0,4
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,7,0,7
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,9,0,9
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,11,0,11
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,14,0,14
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,16,0,16
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,Gre Ste,18,0,18
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,0,0,0
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,2,0,2
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,4,0,4
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,7,0,7
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,9,0,9
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,11,0,11
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,14,0,14
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,16,0,16
2-Ita3LevSte-B3,B3,Lev,Ste,Ita,Ita Ste,18,0,18
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,0,0,0
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,2,0,2
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,4,0,4
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,7,0,7
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,9,0,9
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,11,0,11
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,14,0,14
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,16,0,16
3-Can3LevSte-B3,B3,Lev,Ste,Can,Can Ste,18,0,18
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,0,0,0
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,2,0,2
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,4,0,4
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,7,0,7
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,9,0,9
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,11,0,11
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,14,0,14
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,16,0,16
4-Can3LevNon-B3,B3,Lev,Non,Can,Can Non,18,0,18
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,0,0,0
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,2,0,2
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,4,0,4
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,7,0,7
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,9,0,9
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,11,0,11
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,14,0,14
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,16,0,16
5-Ita3LevNon-B3,B3,Lev,Non,Ita,Ita Non,18,0,18
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,0,0,0
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,2,0,2
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,4,0,4
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,7,0,7
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,9,0,9
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,11,1,11
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,14,1,14
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,16,1,16
6-Gre3LevNon-B3,B3,Lev,Non,Gre,Gre Non,18,1,18
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,0,0,0
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,2,0,2
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,4,0,4
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,7,0,7
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,9,0,9
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,11,0,11
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,14,0,14
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,16,0,16
7-Ita3ConSer-B3,B3,Con,Ser,Ita,Ita Ser,18,0,18
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,0,0,0
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,2,0,2
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,4,0,4
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,7,0,7
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,9,0,9
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,11,1,11
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,14,1,14
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,16,1,16
8-Can3ConSer-B3,B3,Con,Ser,Can,Can Ser,18,2,18
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,0,0,0
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,2,1,2
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,4,1,4
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,7,1,7
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,9,1,9
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,11,1,11
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,14,1,14
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,16,1,16
9-Gre3ConSer-B3,B3,Con,Ser,Gre,Gre Ser,18,1,18
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,0,0,0
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,2,0,2
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,4,0,4
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,7,0,7
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,9,0,9
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,11,0,11
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,14,0,14
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,16,0,16
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,Gre Ser,18,0,18
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,0,0,0
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,2,0,2
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,4,1,4
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,7,1,7
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,9,3,9
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,11,3,11
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,14,3,14
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,16,4,16
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,Ita Ser,18,4,18
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,0,0,0
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,2,0,2
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,4,0,4
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,7,0,7
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,9,0,9
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,11,0,11
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,14,0,14
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,16,0,16
12-Can3BacSer-B3,B3,Bac,Ser,Can,Can Ser,18,0,18
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,0,0,0
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,2,0,2
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,4,0,4
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,7,0,7
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,9,0,9
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,11,0,11
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,14,0,14
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,16,0,16
13-Ita3ConNon-B3,B3,Con,Non,Ita,Ita Non,18,0,18
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,0,0,0
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,2,0,2
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,4,0,4
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,7,0,7
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,9,0,9
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,11,0,11
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,14,0,14
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,16,0,16
14-Gre3ConNon-B3,B3,Con,Non,Gre,Gre Non,18,0,18
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,0,0,0
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,2,0,2
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,4,0,4
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,7,0,7
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,9,0,9
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,11,0,11
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,14,0,14
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,16,0,16
15-Can3ConNon-B3,B3,Con,Non,Can,Can Non,18,0,18
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,0,0,0
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,2,0,2
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,4,0,4
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,7,0,7
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,9,0,9
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,11,0,11
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,14,0,14
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,16,0,16
16-Ita3BacNon-B3,B3,Bac,Non,Ita,Ita Non,18,0,18
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,0,0,0
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,2,0,2
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,4,0,4
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,7,0,7
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,9,0,9
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,11,0,11
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,14,0,14
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,16,0,16
17-Can3BacNon-B3,B3,Bac,Non,Can,Can Non,18,0,18
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,0,0,0
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,2,0,2
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,4,0,4
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,7,0,7
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,9,0,9
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,11,0,11
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,14,0,14
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,16,0,16
18-Gre3BacNon-B3,B3,Bac,Non,Gre,Gre Non,18,0,18
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,0,0,0
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,2,0,2
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,4,0,4
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,7,0,7
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,9,0,9
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,11,1,11
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,14,0,14
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,16,0,16
19-Can3ConSte-B3,B3,Con,Ste,Can,Can Ste,18,0,18
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,0,0,0
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,2,1,2
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,4,1,4
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,7,1,7
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,9,1,9
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,11,1,11
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,14,1,14
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,16,1,16
20-Gre3ConSte-B3,B3,Con,Ste,Gre,Gre Ste,18,1,18
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,0,0,0
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,2,0,2
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,4,0,4
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,7,0,7
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,9,0,9
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,11,0,11
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,14,1,14
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,16,1,16
21-Ita3ConSte-B3,B3,Con,Ste,Ita,Ita Ste,18,1,18
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,0,0,0
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,2,0,2
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,4,0,4
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,7,0,7
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,9,0,9
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,11,0,11
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,14,1,14
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,16,1,16
22-Gre3LevSer-B3,B3,Lev,Ser,Gre,Gre Ser,18,1,18
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,0,0,0
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,2,0,2
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,4,0,4
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,7,0,7
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,9,0,9
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,11,0,11
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,14,0,14
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,16,0,16
23-Ita3LevSer-B3,B3,Lev,Ser,Ita,Ita Ser,18,0,18
24-Can3LevSer-B3,B3,Lev,Ser,Can,Can Ser,0,0,0
24-Can3LevSer-B3,B3,Lev,Ser,Can,Can Ser,2,0,2
