Identity,Bloc,Trt,Wound,Strain,group,Time,Mort_Acc,Times
9-Can1LevNon-B1,B1,Lev,Non,Can,Can Non,14,0,14
9-Can1LevNon-B1,B1,Lev,Non,Can,Can Non,16,0,16
9-Can1LevNon-B1,B1,Lev,Non,Can,Can Non,18,0,18
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,0,0,0
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,2,0,2
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,4,0,4
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,7,0,7
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,9,0,9
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,11,0,11
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,14,0,14
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,16,0,16
10-Gre1ConNon-B1,B1,Con,Non,Gre,Gre Non,18,0,18
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,0,0,0
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,2,0,2
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,4,0,4
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,7,0,7
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,9,0,9
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,11,0,11
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,14,0,14
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,16,0,16
11-Ita1ConNon-B1,B1,Con,Non,Ita,Ita Non,18,0,18
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,0,0,0
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,2,0,2
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,4,0,4
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,7,0,7
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,9,0,9
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,11,0,11
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,14,0,14
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,16,0,16
12-Can1ConNon-B1,B1,Con,Non,Can,Can Non,18,0,18
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,0,0,0
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,2,0,2
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,4,0,4
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,7,0,7
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,9,0,9
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,11,0,11
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,14,0,14
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,16,1,16
13-Gre1BacSte-B1,B1,Bac,Ste,Gre,Gre Ste,18,1,18
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,0,0,0
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,2,0,2
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,4,0,4
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,7,1,7
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,9,1,9
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,11,1,11
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,14,1,14
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,16,1,16
14-Ita1BacSte-B1,B1,Bac,Ste,Ita,Ita Ste,18,1,18
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,0,0,0
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,2,0,2
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,4,0,4
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,7,0,7
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,9,0,9
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,11,0,11
15-Can1BacSte-B1,B1,Bac,Ste,Can,Can Ste,14,0,14
