Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,14,131.63333333333335,14
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,16,18.149999999999977,16
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,18,-9.75,18
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,2,5.9000000000000155,2
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,4,38.89999999999998,4
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,7,68.63333333333337,7
1-Ita6ConNon-B6,B6,Con,Non,Ita,5393,10,539.3,Non Con,9,27.649999999999977,9
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,11,83.75,11
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,14,65.06666666666668,14
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,16,-16.800000000000068,16
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,18,-15.549999999999955,18
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,2,77.43333333333334,2
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,4,35.849999999999966,4
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,7,-5.5999999999999845,7
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4998,10,499.8,Non Bac,9,50,9
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,11,43.30000000000001,11
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,14,45.96666666666666,14
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,16,48.16666666666663,16
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,18,21.14583333333337,18
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,2,38.166666666666664,2
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,4,40.849999999999966,4
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,7,32.76666666666669,7
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4751,10,475.1,Ste Bac,9,48.94999999999999,9
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,11,44.75,11
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,14,63.16666666666663,14
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,16,7.150000000000091,16
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,18,0.25,18
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,2,28.76666666666667,2
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,4,45.75000000000003,4
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,7,42.26666666666665,7
10-Can10ConNon-B10,B10,Con,Non,Can,4009,10,400.9,Non Con,9,45.80000000000001,9
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,11,35.69999999999999,11
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,14,62.10000000000002,14
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,16,13.100000000000023,16
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,18,-2.150000000000091,18
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,2,17.533333333333342,2
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,4,50.05000000000001,4
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,7,16.400000000000016,7
10-Can4LevSte-B4,B4,Lev,Ste,Can,5653,10,565.3,Ste Lev,9,60.64999999999998,9
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,11,14.75,11
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,14,93.36666666666667,14
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,16,9.350000000000023,16
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,18,-6.400000000000034,18
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,2,3.3000000000000114,2
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,4,17.899999999999977,4
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,7,54.833333333333336,7
10-Can6BacSte-B6,B6,Bac,Ste,Can,4267,10,426.7,Ste Bac,9,6.25,9
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,11,53.150000000000034,11
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,14,74.93333333333332,14
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,16,19.149999999999977,16
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,18,12.5,18
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,2,42.633333333333326,2
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,4,63.94999999999999,4
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,7,17.633333333333326,7
10-Gre1ConNon-B1,B1,Con,Non,Gre,5136,10,513.6,Non Con,9,69.30000000000001,9
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,11,45.9444444444444,11
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,14,44.3703703703704,14
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,16,33,16
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,18,-82.43888888888893,18
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,2,6.22222222222221,2
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,4,17.350000000000023,4
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,7,16.5,7
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,6582,9,731.3333333333334,Ser Lev,9,30.78888888888889,9
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,11,41.450000000000045,11
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,14,31.73333333333335,14
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,16,47.75,16
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,18,7.349999999999909,18
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,2,22,2
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,4,8.599999999999966,4
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,7,20.466666666666658,7
10-Gre3BacSer-B3,B3,Bac,Ser,Gre,6412,10,641.2,Ser Bac,9,73.75,9
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,11,65.34999999999997,11
10-Gre5ConSte-B5,B5,Con,Ste,Gre,4069,10,406.9,Ste Con,14,26.666666666666668,14
