Identity,Bloc,Trt,Wound,Strain,Day,Initial_Mass,Mass,Initial_Number,Number,Mean,Survival,True_Mass
1-Ita6ConNon-B6,B6,Con,Non,Ita,7,5393,8407,10,10,840.7,10,8407
1-Ita6ConNon-B6,B6,Con,Non,Ita,9,5393,8960,10,10,896,10,8960
1-Ita7BacNon-B7,B7,Bac,Non,Ita,11,4998,10545,10,10,1054.5,10,10545
1-Ita7BacNon-B7,B7,Bac,Non,Ita,14,4998,12497,10,10,1249.7,10,12497
1-Ita7BacNon-B7,B7,Bac,Non,Ita,16,4998,12161,10,10,1216.1,10,12161
1-Ita7BacNon-B7,B7,Bac,Non,Ita,18,4998,11850,10,10,1185,10,11850
1-Ita7BacNon-B7,B7,Bac,Non,Ita,2,4998,7321,10,10,732.1,10,7321
1-Ita7BacNon-B7,B7,Bac,Non,Ita,4,4998,8038,10,10,803.8,10,8038
1-Ita7BacNon-B7,B7,Bac,Non,Ita,7,4998,7870,10,10,787,10,7870
1-Ita7BacNon-B7,B7,Bac,Non,Ita,9,4998,8870,10,10,887,10,8870
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,11,4751,9541,10,10,954.1,10,9541
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,14,4751,9828,10,9,1092,10,10920
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,16,4751,10695,10,9,1188.3333333333333,10,11883.333333333332
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,18,4751,9845,10,8,1230.625,10,12306.25
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,2,4751,5896,10,10,589.6,10,5896
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,4,4751,6713,10,10,671.3,10,6713
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,7,4751,7696,10,10,769.6,10,7696
1-Ita8BacSte-B8,B8,Bac,Ste,Ita,9,4751,8675,10,10,867.5,10,8675
10-Can10ConNon-B10,B10,Con,Non,Can,11,4009,8866,10,10,886.6,10,8866
10-Can10ConNon-B10,B10,Con,Non,Can,14,4009,10761,10,10,1076.1,10,10761
10-Can10ConNon-B10,B10,Con,Non,Can,16,4009,10904,10,10,1090.4,10,10904
10-Can10ConNon-B10,B10,Con,Non,Can,18,4009,10909,10,10,1090.9,10,10909
10-Can10ConNon-B10,B10,Con,Non,Can,2,4009,4872,10,10,487.2,10,4872
10-Can10ConNon-B10,B10,Con,Non,Can,4,4009,5787,10,10,578.7,10,5787
10-Can10ConNon-B10,B10,Con,Non,Can,7,4009,7055,10,10,705.5,10,7055
10-Can10ConNon-B10,B10,Con,Non,Can,9,4009,7971,10,10,797.1,10,7971
10-Can4LevSte-B4,B4,Lev,Ste,Can,11,5653,9599,10,10,959.9,10,9599
10-Can4LevSte-B4,B4,Lev,Ste,Can,14,5653,11462,10,10,1146.2,10,11462
10-Can4LevSte-B4,B4,Lev,Ste,Can,16,5653,11724,10,10,1172.4,10,11724
10-Can4LevSte-B4,B4,Lev,Ste,Can,18,5653,11681,10,10,1168.1,10,11681
10-Can4LevSte-B4,B4,Lev,Ste,Can,2,5653,6179,10,10,617.9,10,6179
10-Can4LevSte-B4,B4,Lev,Ste,Can,4,5653,7180,10,10,718,10,7180
10-Can4LevSte-B4,B4,Lev,Ste,Can,7,5653,7672,10,10,767.2,10,7672
10-Can4LevSte-B4,B4,Lev,Ste,Can,9,5653,8885,10,10,888.5,10,8885
10-Can6BacSte-B6,B6,Bac,Ste,Can,11,4267,6789,10,10,678.9,10,6789
10-Can6BacSte-B6,B6,Bac,Ste,Can,14,4267,9590,10,10,959,10,9590
10-Can6BacSte-B6,B6,Bac,Ste,Can,16,4267,9777,10,10,977.7,10,9777
10-Can6BacSte-B6,B6,Bac,Ste,Can,18,4267,9649,10,10,964.9,10,9649
10-Can6BacSte-B6,B6,Bac,Ste,Can,2,4267,4366,10,10,436.6,10,4366
10-Can6BacSte-B6,B6,Bac,Ste,Can,4,4267,4724,10,10,472.4,10,4724
10-Can6BacSte-B6,B6,Bac,Ste,Can,7,4267,6369,10,10,636.9,10,6369
10-Can6BacSte-B6,B6,Bac,Ste,Can,9,4267,6494,10,10,649.4,10,6494
10-Gre1ConNon-B1,B1,Con,Non,Gre,11,5136,10672,10,10,1067.2,10,10672
10-Gre1ConNon-B1,B1,Con,Non,Gre,14,5136,12920,10,10,1292,10,12920
10-Gre1ConNon-B1,B1,Con,Non,Gre,16,5136,13303,10,10,1330.3,10,13303
10-Gre1ConNon-B1,B1,Con,Non,Gre,18,5136,13553,10,10,1355.3,10,13553
10-Gre1ConNon-B1,B1,Con,Non,Gre,2,5136,6415,10,10,641.5,10,6415
10-Gre1ConNon-B1,B1,Con,Non,Gre,4,5136,7694,10,10,769.4,10,7694
10-Gre1ConNon-B1,B1,Con,Non,Gre,7,5136,8223,10,10,822.3,10,8223
10-Gre1ConNon-B1,B1,Con,Non,Gre,9,5136,9609,10,10,960.9,10,9609
10-Gre2LevSer-B2,B2,Lev,Ser,Gre,11,6582,8889,9,9,987.6666666666666,9,8889
