"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"50","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","14",8,7393,10,739.3,"Ser Lev",280.842857142857,"14",2246.74285714286
"51","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","16",8,7393,10,739.3,"Ser Lev",277.533333333333,"16",2220.26666666667
"52","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","18",8,7393,10,739.3,"Ser Lev",244.7,"18",1957.6
"53","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","2",10,7393,10,739.3,"Ser Lev",-39.8,"2",-398
"54","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","4",9,7393,10,739.3,"Ser Lev",11.0333333333334,"4",99.3000000000008
"55","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","7",9,7393,10,739.3,"Ser Lev",71.2555555555556,"7",641.3
"56","1-Ita1LevSer-B1","B1","Lev","Ser","Ita","9",8,7393,10,739.3,"Ser Lev",279.575,"9",2236.6
"57","1-Ita6ConNon-B6","B6","Con","Non","Ita","11",10,5393,10,539.3,"Non Con",418.5,"11",4185
"58","1-Ita6ConNon-B6","B6","Con","Non","Ita","14",10,5393,10,539.3,"Non Con",813.4,"14",8134
"59","1-Ita6ConNon-B6","B6","Con","Non","Ita","16",10,5393,10,539.3,"Non Con",849.7,"16",8497
"60","1-Ita6ConNon-B6","B6","Con","Non","Ita","18",10,5393,10,539.3,"Non Con",830.2,"18",8302
"61","1-Ita6ConNon-B6","B6","Con","Non","Ita","2",10,5393,10,539.3,"Non Con",17.7,"2",177
"62","1-Ita6ConNon-B6","B6","Con","Non","Ita","4",10,5393,10,539.3,"Non Con",95.5,"4",955
"63","1-Ita6ConNon-B6","B6","Con","Non","Ita","7",10,5393,10,539.3,"Non Con",301.4,"7",3014
"64","1-Ita6ConNon-B6","B6","Con","Non","Ita","9",10,5393,10,539.3,"Non Con",356.7,"9",3567
"65","1-Ita7BacNon-B7","B7","Bac","Non","Ita","11",10,4998,10,499.8,"Non Bac",554.7,"11",5547
"66","1-Ita7BacNon-B7","B7","Bac","Non","Ita","14",10,4998,10,499.8,"Non Bac",749.9,"14",7499
"67","1-Ita7BacNon-B7","B7","Bac","Non","Ita","16",10,4998,10,499.8,"Non Bac",716.3,"16",7163
"68","1-Ita7BacNon-B7","B7","Bac","Non","Ita","18",10,4998,10,499.8,"Non Bac",685.2,"18",6852
"69","1-Ita7BacNon-B7","B7","Bac","Non","Ita","2",10,4998,10,499.8,"Non Bac",232.3,"2",2323
"70","1-Ita7BacNon-B7","B7","Bac","Non","Ita","4",10,4998,10,499.8,"Non Bac",304,"4",3040
"71","1-Ita7BacNon-B7","B7","Bac","Non","Ita","7",10,4998,10,499.8,"Non Bac",287.2,"7",2872
"72","1-Ita7BacNon-B7","B7","Bac","Non","Ita","9",10,4998,10,499.8,"Non Bac",387.2,"9",3872
"73","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","11",10,4751,10,475.1,"Ste Bac",479,"11",4790
"74","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","14",10,4751,10,475.1,"Ste Bac",616.9,"14",6169
"75","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","16",10,4751,10,475.1,"Ste Bac",713.233333333333,"16",7132.33333333333
"76","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","18",10,4751,10,475.1,"Ste Bac",755.525,"18",7555.25
"77","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","2",10,4751,10,475.1,"Ste Bac",114.5,"2",1145
"78","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","4",10,4751,10,475.1,"Ste Bac",196.2,"4",1962
"79","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","7",10,4751,10,475.1,"Ste Bac",294.5,"7",2945
"80","1-Ita8BacSte-B8","B8","Bac","Ste","Ita","9",10,4751,10,475.1,"Ste Bac",392.4,"9",3924
"81","10-Can10ConNon-B10","B10","Con","Non","Can","11",10,4009,10,400.9,"Non Con",485.7,"11",4857
"82","10-Can10ConNon-B10","B10","Con","Non","Can","14",10,4009,10,400.9,"Non Con",675.2,"14",6752
"83","10-Can10ConNon-B10","B10","Con","Non","Can","16",10,4009,10,400.9,"Non Con",689.5,"16",6895
