"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"475","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","16",8,5582,10,558.2,"Ste Lev",784.55,"16",6276.4
"476","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","18",8,5582,10,558.2,"Ste Lev",776.514285714286,"18",6212.11428571429
"477","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","2",9,5582,10,558.2,"Ste Lev",189.688888888889,"2",1707.2
"478","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","4",9,5582,10,558.2,"Ste Lev",260.466666666667,"4",2344.2
"479","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","7",9,5582,10,558.2,"Ste Lev",274.244444444444,"7",2468.2
"480","14-Ita8LevSte-B8","B8","Lev","Ste","Ita","9",9,5582,10,558.2,"Ste Lev",347.911111111111,"9",3131.2
"481","15-Can1BacSte-B1","B1","Bac","Ste","Can","11",10,4753,10,475.3,"Ste Bac",428.8,"11",4288
"482","15-Can1BacSte-B1","B1","Bac","Ste","Can","14",10,4753,10,475.3,"Ste Bac",671.2,"14",6712
"483","15-Can1BacSte-B1","B1","Bac","Ste","Can","16",10,4753,10,475.3,"Ste Bac",694.6,"16",6946
"484","15-Can1BacSte-B1","B1","Bac","Ste","Can","18",10,4753,10,475.3,"Ste Bac",683.4,"18",6834
"485","15-Can1BacSte-B1","B1","Bac","Ste","Can","2",10,4753,10,475.3,"Ste Bac",124.2,"2",1242
"486","15-Can1BacSte-B1","B1","Bac","Ste","Can","4",10,4753,10,475.3,"Ste Bac",251.3,"4",2513
"487","15-Can1BacSte-B1","B1","Bac","Ste","Can","7",10,4753,10,475.3,"Ste Bac",250.6,"7",2506
"488","15-Can1BacSte-B1","B1","Bac","Ste","Can","9",10,4753,10,475.3,"Ste Bac",317.9,"9",3179
"489","15-Can3ConNon-B3","B3","Con","Non","Can","11",10,4179,10,417.9,"Non Con",467.5,"11",4675
"490","15-Can3ConNon-B3","B3","Con","Non","Can","14",10,4179,10,417.9,"Non Con",651.6,"14",6516
"491","15-Can3ConNon-B3","B3","Con","Non","Can","16",10,4179,10,417.9,"Non Con",739,"16",7390
"492","15-Can3ConNon-B3","B3","Con","Non","Can","18",10,4179,10,417.9,"Non Con",741.6,"18",7416
"493","15-Can3ConNon-B3","B3","Con","Non","Can","2",10,4179,10,417.9,"Non Con",96,"2",960
"494","15-Can3ConNon-B3","B3","Con","Non","Can","4",10,4179,10,417.9,"Non Con",167.6,"4",1676
"495","15-Can3ConNon-B3","B3","Con","Non","Can","7",10,4179,10,417.9,"Non Con",252.4,"7",2524
"496","15-Can3ConNon-B3","B3","Con","Non","Can","9",10,4179,10,417.9,"Non Con",384.2,"9",3842
"497","15-Can5LevNon-B5","B5","Lev","Non","Can","11",9,5125,10,512.5,"Non Lev",546.833333333333,"11",4921.5
"498","15-Can5LevNon-B5","B5","Lev","Non","Can","14",9,5125,10,512.5,"Non Lev",771.722222222222,"14",6945.5
"499","15-Can5LevNon-B5","B5","Lev","Non","Can","16",9,5125,10,512.5,"Non Lev",784.722222222222,"16",7062.5
"500","15-Can5LevNon-B5","B5","Lev","Non","Can","18",9,5125,10,512.5,"Non Lev",759.388888888889,"18",6834.5
"501","15-Can5LevNon-B5","B5","Lev","Non","Can","2",10,5125,10,512.5,"Non Lev",74.4,"2",744
"502","15-Can5LevNon-B5","B5","Lev","Non","Can","4",9,5125,10,512.5,"Non Lev",192.611111111111,"4",1733.5
"503","15-Can5LevNon-B5","B5","Lev","Non","Can","7",9,5125,10,512.5,"Non Lev",323.833333333333,"7",2914.5
"504","15-Can5LevNon-B5","B5","Lev","Non","Can","9",9,5125,10,512.5,"Non Lev",382.5,"9",3442.5
"505","15-Can6LevSer-B6","B6","Lev","Ser","Can","11",9,4747,10,474.7,"Ser Lev",357.744444444444,"11",3219.7
"506","15-Can6LevSer-B6","B6","Lev","Ser","Can","14",9,4747,10,474.7,"Ser Lev",501.855555555556,"14",4516.7
"507","15-Can6LevSer-B6","B6","Lev","Ser","Can","16",9,4747,10,474.7,"Ser Lev",611.175,"16",5500.575
"508","15-Can6LevSer-B6","B6","Lev","Ser","Can","18",9,4747,10,474.7,"Ser Lev",622.3,"18",5600.7
"509","15-Can6LevSer-B6","B6","Lev","Ser","Can","2",10,4747,10,474.7,"Ser Lev",41.8,"2",418
"510","15-Can6LevSer-B6","B6","Lev","Ser","Can","4",9,4747,10,474.7,"Ser Lev",138.3,"4",1244.7
"511","15-Can6LevSer-B6","B6","Lev","Ser","Can","7",9,4747,10,474.7,"Ser Lev",177.744444444444,"7",1599.7
"512","15-Can6LevSer-B6","B6","Lev","Ser","Can","9",9,4747,10,474.7,"Ser Lev",277.966666666667,"9",2501.7
"513","15-Can8LevSte-B8","B8","Lev","Ste","Can","11",10,5343,10,534.3,"Ste Lev",408.6,"11",4086
"514","15-Can8LevSte-B8","B8","Lev","Ste","Can","14",9,5343,10,534.3,"Ste Lev",802.366666666667,"14",7221.3
"515","15-Can8LevSte-B8","B8","Lev","Ste","Can","16",9,5343,10,534.3,"Ste Lev",771.811111111111,"16",6946.3
"516","15-Can8LevSte-B8","B8","Lev","Ste","Can","18",9,5343,10,534.3,"Ste Lev",746.255555555556,"18",6716.3
"517","15-Can8LevSte-B8","B8","Lev","Ste","Can","2",10,5343,10,534.3,"Ste Lev",64.6,"2",646
"518","15-Can8LevSte-B8","B8","Lev","Ste","Can","4",10,5343,10,534.3,"Ste Lev",250.8,"4",2508
"519","15-Can8LevSte-B8","B8","Lev","Ste","Can","7",10,5343,10,534.3,"Ste Lev",256.1,"7",2561
"520","15-Can8LevSte-B8","B8","Lev","Ste","Can","9",10,5343,10,534.3,"Ste Lev",329.4,"9",3294
"521","15-Can9ConSte-B9","B9","Con","Ste","Can","11",9,4316,10,431.6,"Ste Con",471.066666666667,"11",4239.6
"522","15-Can9ConSte-B9","B9","Con","Ste","Can","14",9,4316,10,431.6,"Ste Con",596.622222222222,"14",5369.6
"523","15-Can9ConSte-B9","B9","Con","Ste","Can","16",9,4316,10,431.6,"Ste Con",675.844444444444,"16",6082.6
"524","15-Can9ConSte-B9","B9","Con","Ste","Can","18",8,4316,10,431.6,"Ste Con",660.9,"18",5287.2
"525","15-Can9ConSte-B9","B9","Con","Ste","Can","2",10,4316,10,431.6,"Ste Con",96.8,"2",968
"526","15-Can9ConSte-B9","B9","Con","Ste","Can","4",10,4316,10,431.6,"Ste Con",190.9,"4",1909
"527","15-Can9ConSte-B9","B9","Con","Ste","Can","7",10,4316,10,431.6,"Ste Con",178.2,"7",1782
"528","15-Can9ConSte-B9","B9","Con","Ste","Can","9",9,4316,10,431.6,"Ste Con",432.955555555556,"9",3896.6
"529","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","11",9,4134,10,413.4,"Ste Bac",348.711111111111,"11",3138.4
"530","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","14",9,4134,10,413.4,"Ste Bac",615.488888888889,"14",5539.4
"531","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","16",9,4134,10,413.4,"Ste Bac",665.377777777778,"16",5988.4
"532","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","18",9,4134,10,413.4,"Ste Bac",663.377777777778,"18",5970.4
"533","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","2",9,4134,10,413.4,"Ste Bac",-7.39999999999998,"2",-66.5999999999998
"534","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","4",9,4134,10,413.4,"Ste Bac",67.2666666666667,"4",605.4
"535","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","7",9,4134,10,413.4,"Ste Bac",235.488888888889,"7",2119.4
"536","15-Ita10BacSte-B10","B10","Bac","Ste","Ita","9",9,4134,10,413.4,"Ste Bac",238.377777777778,"9",2145.4
"537","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","11",10,6899,10,689.9,"Ste Lev",508.5,"11",5085
"538","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","14",10,6899,10,689.9,"Ste Lev",622.3,"14",6223
"539","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","16",10,6899,10,689.9,"Ste Lev",604.6,"16",6046
"540","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","18",10,6899,10,689.9,"Ste Lev",564.4,"18",5644
"541","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","2",10,6899,10,689.9,"Ste Lev",130.6,"2",1306
"542","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","4",10,6899,10,689.9,"Ste Lev",196.1,"4",1961
"543","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","7",10,6899,10,689.9,"Ste Lev",223.9,"7",2239
"544","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","9",10,6899,10,689.9,"Ste Lev",275.2,"9",2752
"545","15-Ita4ConSte-B4","B4","Con","Ste","Ita","11",10,5093,10,509.3,"Ste Con",457.4,"11",4574
"546","15-Ita4ConSte-B4","B4","Con","Ste","Ita","14",10,5093,10,509.3,"Ste Con",692.2,"14",6922
"547","15-Ita4ConSte-B4","B4","Con","Ste","Ita","16",10,5093,10,509.3,"Ste Con",739.8,"16",7398
"548","15-Ita4ConSte-B4","B4","Con","Ste","Ita","18",10,5093,10,509.3,"Ste Con",775.3,"18",7753
"549","15-Ita4ConSte-B4","B4","Con","Ste","Ita","2",10,5093,10,509.3,"Ste Con",35.3,"2",353
"550","15-Ita4ConSte-B4","B4","Con","Ste","Ita","4",10,5093,10,509.3,"Ste Con",119.9,"4",1199
"551","15-Ita4ConSte-B4","B4","Con","Ste","Ita","7",10,5093,10,509.3,"Ste Con",232.8,"7",2328
"552","15-Ita4ConSte-B4","B4","Con","Ste","Ita","9",10,5093,10,509.3,"Ste Con",391.4,"9",3914
"553","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","11",10,4724,10,472.4,"Ste Bac",401.6,"11",4016
"554","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","14",10,4724,10,472.4,"Ste Bac",602,"14",6020
"555","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","16",10,4724,10,472.4,"Ste Bac",599.7,"16",5997
"556","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","18",10,4724,10,472.4,"Ste Bac",615.4,"18",6154
"557","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","2",10,4724,10,472.4,"Ste Bac",88.1,"2",881
"558","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","4",10,4724,10,472.4,"Ste Bac",185.8,"4",1858
"559","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","7",10,4724,10,472.4,"Ste Bac",212.5,"7",2125
"560","15-Ita7BacSte-B7","B7","Bac","Ste","Ita","9",10,4724,10,472.4,"Ste Bac",299.1,"9",2991
"561","16-Can5BacNon-B5","B5","Bac","Non","Can","11",10,3935,10,393.5,"Non Bac",423.9,"11",4239
"562","16-Can5BacNon-B5","B5","Bac","Non","Can","14",10,3935,10,393.5,"Non Bac",598.4,"14",5984
"563","16-Can5BacNon-B5","B5","Bac","Non","Can","16",10,3935,10,393.5,"Non Bac",717.4,"16",7174
"564","16-Can5BacNon-B5","B5","Bac","Non","Can","18",10,3935,10,393.5,"Non Bac",743.9,"18",7439
"565","16-Can5BacNon-B5","B5","Bac","Non","Can","2",10,3935,10,393.5,"Non Bac",36.2,"2",362
"566","16-Can5BacNon-B5","B5","Bac","Non","Can","4",10,3935,10,393.5,"Non Bac",71.7,"4",717
"567","16-Can5BacNon-B5","B5","Bac","Non","Can","7",10,3935,10,393.5,"Non Bac",251.8,"7",2518
"568","16-Can5BacNon-B5","B5","Bac","Non","Can","9",10,3935,10,393.5,"Non Bac",365.4,"9",3654
"569","16-Can6BacNon-B6","B6","Bac","Non","Can","11",10,5000,10,500,"Non Bac",435.8,"11",4358
"570","16-Can6BacNon-B6","B6","Bac","Non","Can","14",10,5000,10,500,"Non Bac",736.1,"14",7361
"571","16-Can6BacNon-B6","B6","Bac","Non","Can","16",10,5000,10,500,"Non Bac",738.5,"16",7385
"572","16-Can6BacNon-B6","B6","Bac","Non","Can","18",10,5000,10,500,"Non Bac",725,"18",7250
"573","16-Can6BacNon-B6","B6","Bac","Non","Can","2",10,5000,10,500,"Non Bac",65.2,"2",652
"574","16-Can6BacNon-B6","B6","Bac","Non","Can","4",10,5000,10,500,"Non Bac",188.6,"4",1886
"575","16-Can6BacNon-B6","B6","Bac","Non","Can","7",10,5000,10,500,"Non Bac",297.5,"7",2975
"576","16-Can6BacNon-B6","B6","Bac","Non","Can","9",10,5000,10,500,"Non Bac",334.4,"9",3344
"577","16-Can8BacNon-B8","B8","Bac","Non","Can","11",10,4138,10,413.8,"Non Bac",504.7,"11",5047
"578","16-Can8BacNon-B8","B8","Bac","Non","Can","14",10,4138,10,413.8,"Non Bac",739.9,"14",7399
"579","16-Can8BacNon-B8","B8","Bac","Non","Can","16",10,4138,10,413.8,"Non Bac",733.1,"16",7331
"580","16-Can8BacNon-B8","B8","Bac","Non","Can","18",10,4138,10,413.8,"Non Bac",755.7,"18",7557
"581","16-Can8BacNon-B8","B8","Bac","Non","Can","2",10,4138,10,413.8,"Non Bac",104.6,"2",1046
"582","16-Can8BacNon-B8","B8","Bac","Non","Can","4",10,4138,10,413.8,"Non Bac",227.7,"4",2277
"583","16-Can8BacNon-B8","B8","Bac","Non","Can","7",10,4138,10,413.8,"Non Bac",316,"7",3160
"584","16-Can8BacNon-B8","B8","Bac","Non","Can","9",10,4138,10,413.8,"Non Bac",420,"9",4200
"585","16-Can9LevNon-B9","B9","Lev","Non","Can","11",10,4868,10,486.8,"Non Lev",392.5,"11",3925
"586","16-Can9LevNon-B9","B9","Lev","Non","Can","14",10,4868,10,486.8,"Non Lev",705.1,"14",7051
"587","16-Can9LevNon-B9","B9","Lev","Non","Can","16",10,4868,10,486.8,"Non Lev",754.7,"16",7547
"588","16-Can9LevNon-B9","B9","Lev","Non","Can","18",10,4868,10,486.8,"Non Lev",736.6,"18",7366
"589","16-Can9LevNon-B9","B9","Lev","Non","Can","2",10,4868,10,486.8,"Non Lev",60.7,"2",607
"590","16-Can9LevNon-B9","B9","Lev","Non","Can","4",10,4868,10,486.8,"Non Lev",95.2,"4",952
"591","16-Can9LevNon-B9","B9","Lev","Non","Can","7",10,4868,10,486.8,"Non Lev",265.4,"7",2654
"592","16-Can9LevNon-B9","B9","Lev","Non","Can","9",10,4868,10,486.8,"Non Lev",376,"9",3760
"593","16-Gre2ConSer-B2","B2","Con","Ser","Gre","11",9,5234,10,523.4,"Ser Con",385.155555555556,"11",3466.4
"594","16-Gre2ConSer-B2","B2","Con","Ser","Gre","14",8,5234,10,523.4,"Ser Con",496.1,"14",3968.8
"595","16-Gre2ConSer-B2","B2","Con","Ser","Gre","16",8,5234,10,523.4,"Ser Con",476.725,"16",3813.8
"596","16-Gre2ConSer-B2","B2","Con","Ser","Gre","18",8,5234,10,523.4,"Ser Con",473.35,"18",3786.8
"597","16-Gre2ConSer-B2","B2","Con","Ser","Gre","2",10,5234,10,523.4,"Ser Con",77.6,"2",776
"598","16-Gre2ConSer-B2","B2","Con","Ser","Gre","4",9,5234,10,523.4,"Ser Con",180.822222222222,"4",1627.4
"599","16-Gre2ConSer-B2","B2","Con","Ser","Gre","7",9,5234,10,523.4,"Ser Con",183.155555555556,"7",1648.4
"600","16-Gre2ConSer-B2","B2","Con","Ser","Gre","9",9,5234,10,523.4,"Ser Con",273.044444444444,"9",2457.4
"601","16-Gre7ConNon-B7","B7","Con","Non","Gre","11",10,5201,10,520.1,"Non Con",465.6,"11",4656
"602","16-Gre7ConNon-B7","B7","Con","Non","Gre","14",10,5201,10,520.1,"Non Con",809.7,"14",8097
"603","16-Gre7ConNon-B7","B7","Con","Non","Gre","16",10,5201,10,520.1,"Non Con",807.9,"16",8079
"604","16-Gre7ConNon-B7","B7","Con","Non","Gre","18",10,5201,10,520.1,"Non Con",801.7,"18",8017
"605","16-Gre7ConNon-B7","B7","Con","Non","Gre","2",10,5201,10,520.1,"Non Con",83.1999999999999,"2",831.999999999999
"606","16-Gre7ConNon-B7","B7","Con","Non","Gre","4",10,5201,10,520.1,"Non Con",222,"4",2220
"607","16-Gre7ConNon-B7","B7","Con","Non","Gre","7",10,5201,10,520.1,"Non Con",289.8,"7",2898
"608","16-Gre7ConNon-B7","B7","Con","Non","Gre","9",10,5201,10,520.1,"Non Con",370.5,"9",3705
"609","16-Ita10BacNon-B10","B10","Bac","Non","Ita","11",10,4116,9,457.333333333333,"Non Bac",561.266666666667,"11",5612.66666666667
"610","16-Ita10BacNon-B10","B10","Bac","Non","Ita","14",10,4116,9,457.333333333333,"Non Bac",683.966666666667,"14",6839.66666666667
"611","16-Ita10BacNon-B10","B10","Bac","Non","Ita","16",10,4116,9,457.333333333333,"Non Bac",722.466666666667,"16",7224.66666666667
"612","16-Ita10BacNon-B10","B10","Bac","Non","Ita","18",10,4116,9,457.333333333333,"Non Bac",709.166666666667,"18",7091.66666666667
"613","16-Ita10BacNon-B10","B10","Bac","Non","Ita","2",10,4116,9,457.333333333333,"Non Bac",152.566666666667,"2",1525.66666666667
"614","16-Ita10BacNon-B10","B10","Bac","Non","Ita","4",10,4116,9,457.333333333333,"Non Bac",252.366666666667,"4",2523.66666666667
"615","16-Ita10BacNon-B10","B10","Bac","Non","Ita","7",10,4116,9,457.333333333333,"Non Bac",339.766666666667,"7",3397.66666666667
"616","16-Ita10BacNon-B10","B10","Bac","Non","Ita","9",10,4116,9,457.333333333333,"Non Bac",412.566666666667,"9",4125.66666666667
"617","16-Ita1ConSte-B1","B1","Con","Ste","Ita","11",10,5776,10,577.6,"Ste Con",445.9,"11",4459
"618","16-Ita1ConSte-B1","B1","Con","Ste","Ita","14",10,5776,10,577.6,"Ste Con",676.7,"14",6767
"619","16-Ita1ConSte-B1","B1","Con","Ste","Ita","16",10,5776,10,577.6,"Ste Con",673.177777777778,"16",6731.77777777778
"620","16-Ita1ConSte-B1","B1","Con","Ste","Ita","18",10,5776,10,577.6,"Ste Con",647.844444444444,"18",6478.44444444444
"621","16-Ita1ConSte-B1","B1","Con","Ste","Ita","2",10,5776,10,577.6,"Ste Con",66.1,"2",661
"622","16-Ita1ConSte-B1","B1","Con","Ste","Ita","4",10,5776,10,577.6,"Ste Con",189,"4",1890
"623","16-Ita1ConSte-B1","B1","Con","Ste","Ita","7",10,5776,10,577.6,"Ste Con",350.1,"7",3501
"624","16-Ita1ConSte-B1","B1","Con","Ste","Ita","9",10,5776,10,577.6,"Ste Con",387.2,"9",3872
"625","16-Ita3BacNon-B3","B3","Bac","Non","Ita","11",10,5241,10,524.1,"Non Bac",555.2,"11",5552
"626","16-Ita3BacNon-B3","B3","Bac","Non","Ita","14",10,5241,10,524.1,"Non Bac",639.4,"14",6394
"627","16-Ita3BacNon-B3","B3","Bac","Non","Ita","16",10,5241,10,524.1,"Non Bac",774.2,"16",7742
"628","16-Ita3BacNon-B3","B3","Bac","Non","Ita","18",10,5241,10,524.1,"Non Bac",719.8,"18",7198
"629","16-Ita3BacNon-B3","B3","Bac","Non","Ita","2",10,5241,10,524.1,"Non Bac",118,"2",1180
"630","16-Ita3BacNon-B3","B3","Bac","Non","Ita","4",10,5241,10,524.1,"Non Bac",217.4,"4",2174
"631","16-Ita3BacNon-B3","B3","Bac","Non","Ita","7",10,5241,10,524.1,"Non Bac",260,"7",2600
"632","16-Ita3BacNon-B3","B3","Bac","Non","Ita","9",10,5241,10,524.1,"Non Bac",411.1,"9",4111
"633","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","11",9,6979,10,697.9,"Ser Lev",255.877777777778,"11",2302.9
"634","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","14",9,6979,10,697.9,"Ser Lev",507.1,"14",4563.9
"635","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","16",9,6979,10,697.9,"Ser Lev",484.433333333333,"16",4359.9
"636","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","18",8,6979,10,697.9,"Ser Lev",589.35,"18",4714.8
"637","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","2",10,6979,10,697.9,"Ser Lev",-27.9,"2",-279
"638","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","4",10,6979,10,697.9,"Ser Lev",17.8000000000001,"4",178.000000000001
"639","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","7",10,6979,10,697.9,"Ser Lev",69.2,"7",692
"640","16-Ita4LevSer-B4","B4","Lev","Ser","Ita","9",9,6979,10,697.9,"Ser Lev",239.433333333333,"9",2154.9
"641","17-Can10BacNon-B10","B10","Bac","Non","Can","11",10,4243,11,385.727272727273,"Non Bac",514.572727272727,"11",5145.72727272727
"642","17-Can10BacNon-B10","B10","Bac","Non","Can","14",10,4243,11,385.727272727273,"Non Bac",656.772727272727,"14",6567.72727272727
"643","17-Can10BacNon-B10","B10","Bac","Non","Can","16",10,4243,11,385.727272727273,"Non Bac",693.772727272727,"16",6937.72727272727
"644","17-Can10BacNon-B10","B10","Bac","Non","Can","18",10,4243,11,385.727272727273,"Non Bac",696.672727272727,"18",6966.72727272727
"645","17-Can10BacNon-B10","B10","Bac","Non","Can","2",10,4243,11,385.727272727273,"Non Bac",145.772727272727,"2",1457.72727272727
"646","17-Can10BacNon-B10","B10","Bac","Non","Can","4",10,4243,11,385.727272727273,"Non Bac",204.672727272727,"4",2046.72727272727
"647","17-Can10BacNon-B10","B10","Bac","Non","Can","7",10,4243,11,385.727272727273,"Non Bac",302.972727272727,"7",3029.72727272727
"648","17-Can10BacNon-B10","B10","Bac","Non","Can","9",10,4243,11,385.727272727273,"Non Bac",405.072727272727,"9",4050.72727272727
"649","17-Can1ConSte-B1","B1","Con","Ste","Can","11",10,5395,10,539.5,"Ste Con",386.6,"11",3866
"650","17-Can1ConSte-B1","B1","Con","Ste","Can","14",10,5395,10,539.5,"Ste Con",666.8,"14",6668
"651","17-Can1ConSte-B1","B1","Con","Ste","Can","16",10,5395,10,539.5,"Ste Con",698.1,"16",6981
"652","17-Can1ConSte-B1","B1","Con","Ste","Can","18",10,5395,10,539.5,"Ste Con",644,"18",6440
"653","17-Can1ConSte-B1","B1","Con","Ste","Can","2",10,5395,10,539.5,"Ste Con",74.4,"2",744
"654","17-Can1ConSte-B1","B1","Con","Ste","Can","4",10,5395,10,539.5,"Ste Con",196.8,"4",1968
"655","17-Can1ConSte-B1","B1","Con","Ste","Can","7",10,5395,10,539.5,"Ste Con",308.5,"7",3085
"656","17-Can1ConSte-B1","B1","Con","Ste","Can","9",10,5395,10,539.5,"Ste Con",346.7,"9",3467
"657","17-Can3BacNon-B3","B3","Bac","Non","Can","11",10,4775,10,477.5,"Non Bac",481,"11",4810
"658","17-Can3BacNon-B3","B3","Bac","Non","Can","14",10,4775,10,477.5,"Non Bac",570.8,"14",5708
"659","17-Can3BacNon-B3","B3","Bac","Non","Can","16",10,4775,10,477.5,"Non Bac",703.3,"16",7033
"660","17-Can3BacNon-B3","B3","Bac","Non","Can","18",10,4775,10,477.5,"Non Bac",705.9,"18",7059
"661","17-Can3BacNon-B3","B3","Bac","Non","Can","2",10,4775,10,477.5,"Non Bac",87,"2",870
"662","17-Can3BacNon-B3","B3","Bac","Non","Can","4",10,4775,10,477.5,"Non Bac",136.2,"4",1362
"663","17-Can3BacNon-B3","B3","Bac","Non","Can","7",10,4775,10,477.5,"Non Bac",205.6,"7",2056
"664","17-Can3BacNon-B3","B3","Bac","Non","Can","9",10,4775,10,477.5,"Non Bac",437.5,"9",4375
"665","17-Can7ConNon-B7","B7","Con","Non","Can","11",10,5028,10,502.8,"Non Con",377.6,"11",3776
"666","17-Can7ConNon-B7","B7","Con","Non","Can","14",10,5028,10,502.8,"Non Con",727.1,"14",7271
"667","17-Can7ConNon-B7","B7","Con","Non","Can","16",10,5028,10,502.8,"Non Con",767.4,"16",7674
"668","17-Can7ConNon-B7","B7","Con","Non","Can","18",10,5028,10,502.8,"Non Con",742.5,"18",7425
"669","17-Can7ConNon-B7","B7","Con","Non","Can","2",10,5028,10,502.8,"Non Con",97.2,"2",972
"670","17-Can7ConNon-B7","B7","Con","Non","Can","4",10,5028,10,502.8,"Non Con",208.8,"4",2088
"671","17-Can7ConNon-B7","B7","Con","Non","Can","7",10,5028,10,502.8,"Non Con",320.6,"7",3206
"672","17-Can7ConNon-B7","B7","Con","Non","Can","9",10,5028,10,502.8,"Non Con",327.9,"9",3279
"673","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","11",9,5691,10,569.1,"Ser Lev",339.677777777778,"11",3057.1
"674","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","14",8,5691,10,569.1,"Ser Lev",426.525,"14",3412.2
"675","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","16",7,5691,10,569.1,"Ser Lev",512.042857142857,"16",3584.3
"676","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","18",7,5691,10,569.1,"Ser Lev",505.9,"18",3541.3
"677","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","2",10,5691,10,569.1,"Ser Lev",66.3,"2",663
"678","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","4",9,5691,10,569.1,"Ser Lev",149.9,"4",1349.1
"679","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","7",8,5691,10,569.1,"Ser Lev",281.65,"7",2253.2
"680","17-Gre4LevSer-B4","B4","Lev","Ser","Gre","9",9,5691,10,569.1,"Ser Lev",289.677777777778,"9",2607.1
"681","17-Gre8BacNon-B8","B8","Bac","Non","Gre","11",9,4789,10,478.9,"Non Bac",563.766666666667,"11",5073.9
"682","17-Gre8BacNon-B8","B8","Bac","Non","Gre","14",9,4789,10,478.9,"Non Bac",702.655555555556,"14",6323.9
"683","17-Gre8BacNon-B8","B8","Bac","Non","Gre","16",9,4789,10,478.9,"Non Bac",807.1,"16",7263.9
"684","17-Gre8BacNon-B8","B8","Bac","Non","Gre","18",9,4789,10,478.9,"Non Bac",854.544444444444,"18",7690.9
"685","17-Gre8BacNon-B8","B8","Bac","Non","Gre","2",9,4789,10,478.9,"Non Bac",197.433333333333,"2",1776.9
"686","17-Gre8BacNon-B8","B8","Bac","Non","Gre","4",9,4789,10,478.9,"Non Bac",249.766666666667,"4",2247.9
"687","17-Gre8BacNon-B8","B8","Bac","Non","Gre","7",9,4789,10,478.9,"Non Bac",299.655555555556,"7",2696.9
"688","17-Gre8BacNon-B8","B8","Bac","Non","Gre","9",9,4789,10,478.9,"Non Bac",459.322222222222,"9",4133.9
"689","17-Gre9LevNon-B9","B9","Lev","Non","Gre","11",10,6532,10,653.2,"Non Lev",501.8,"11",5018
"690","17-Gre9LevNon-B9","B9","Lev","Non","Gre","14",10,6532,10,653.2,"Non Lev",755.8,"14",7558
"691","17-Gre9LevNon-B9","B9","Lev","Non","Gre","16",10,6532,10,653.2,"Non Lev",827.4,"16",8274
"692","17-Gre9LevNon-B9","B9","Lev","Non","Gre","18",10,6532,10,653.2,"Non Lev",775.7,"18",7757
"693","17-Gre9LevNon-B9","B9","Lev","Non","Gre","2",10,6532,10,653.2,"Non Lev",98.0999999999999,"2",980.999999999999
"694","17-Gre9LevNon-B9","B9","Lev","Non","Gre","4",10,6532,10,653.2,"Non Lev",181.8,"4",1818
"695","17-Gre9LevNon-B9","B9","Lev","Non","Gre","7",10,6532,10,653.2,"Non Lev",299.8,"7",2998
"696","17-Gre9LevNon-B9","B9","Lev","Non","Gre","9",10,6532,10,653.2,"Non Lev",433.7,"9",4337
"697","17-Ita2ConSer-B2","B2","Con","Ser","Ita","11",9,5945,10,594.5,"Ser Con",470.388888888889,"11",4233.5
