"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Rate","Times"
"53","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",2,-13.2666666666667,"2"
"54","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",4,25.4166666666667,"4"
"55","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",7,20.0740740740741,"7"
"56","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",9,104.159722222222,"9"
"57","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",11,30.9,"11"
"58","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",14,131.633333333333,"14"
"59","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",16,18.15,"16"
"60","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",18,-9.75,"18"
"61","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",2,5.90000000000002,"2"
"62","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",4,38.9,"4"
"63","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",7,68.6333333333334,"7"
"64","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",9,27.65,"9"
"65","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",11,83.75,"11"
"66","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",14,65.0666666666667,"14"
"67","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",16,-16.8000000000001,"16"
"68","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",18,-15.55,"18"
"69","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",2,77.4333333333333,"2"
"70","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",4,35.85,"4"
"71","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",7,-5.59999999999998,"7"
"72","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",9,50,"9"
"73","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",11,43.3,"11"
"74","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",14,45.9666666666667,"14"
"75","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",16,48.1666666666666,"16"
"76","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",18,21.1458333333334,"18"
"77","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",2,38.1666666666667,"2"
"78","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",4,40.85,"4"
"79","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",7,32.7666666666667,"7"
"80","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",9,48.95,"9"
"81","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",11,44.75,"11"
"82","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",14,63.1666666666666,"14"
"83","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",16,7.15000000000009,"16"
"84","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",18,0.25,"18"
"85","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",2,28.7666666666667,"2"
"86","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",4,45.75,"4"
"87","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",7,42.2666666666667,"7"
"88","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",9,45.8,"9"
"89","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",11,35.7,"11"
"90","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",14,62.1,"14"
"91","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",16,13.1,"16"
"92","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",18,-2.15000000000009,"18"
"93","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",2,17.5333333333333,"2"
"94","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",4,50.05,"4"
"95","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",7,16.4,"7"
"96","10-Can4LevSte-B4","B4","Lev","Ste","Can",5653,10,565.3,"Ste Lev",9,60.65,"9"
"97","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",11,14.75,"11"
"98","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",14,93.3666666666667,"14"
"99","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",16,9.35000000000002,"16"
"100","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",18,-6.40000000000003,"18"
"101","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",2,3.30000000000001,"2"
"102","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",4,17.9,"4"
"103","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",7,54.8333333333333,"7"
"104","10-Can6BacSte-B6","B6","Bac","Ste","Can",4267,10,426.7,"Ste Bac",9,6.25,"9"
"105","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",11,53.15,"11"
"106","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",14,74.9333333333333,"14"
"107","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",16,19.15,"16"
"108","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",18,12.5,"18"
"109","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",2,42.6333333333333,"2"
"110","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",4,63.95,"4"
"111","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",7,17.6333333333333,"7"
"112","10-Gre1ConNon-B1","B1","Con","Non","Gre",5136,10,513.6,"Non Con",9,69.3,"9"
"113","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",11,45.9444444444444,"11"
"114","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",14,44.3703703703704,"14"
"115","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",16,33,"16"
"116","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",18,-82.4388888888889,"18"
"117","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",2,6.22222222222221,"2"
"118","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",4,17.35,"4"
"119","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",7,16.5,"7"
"120","10-Gre2LevSer-B2","B2","Lev","Ser","Gre",6582,9,731.333333333333,"Ser Lev",9,30.7888888888889,"9"
"121","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",11,41.45,"11"
"122","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",14,31.7333333333333,"14"
"123","10-Gre3BacSer-B3","B3","Bac","Ser","Gre",6412,10,641.2,"Ser Bac",16,47.75,"16"
