"","Identity","Bloc","Trt","Wound","Strain","group","Time","Mort_Acc","Times"
"309","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",4,0,"4"
"310","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",7,0,"7"
"311","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",9,0,"9"
"312","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",11,0,"11"
"313","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",14,1,"14"
"314","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",16,1,"16"
"315","8-Gre2BacSte-B2","B2","Bac","Ste","Gre","Gre Ste",18,1,"18"
"316","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",0,0,"0"
"317","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",2,0,"2"
"318","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",4,0,"4"
"319","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",7,0,"7"
"320","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",9,1,"9"
"321","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",11,1,"11"
"322","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",14,1,"14"
"323","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",16,1,"16"
"324","9-Ita2BacSte-B2","B2","Bac","Ste","Ita","Ita Ste",18,1,"18"
"325","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",0,0,"0"
"326","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",2,0,"2"
"327","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",4,0,"4"
"328","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",7,0,"7"
"329","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",9,1,"9"
"330","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",11,1,"11"
"331","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",14,1,"14"
"332","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",16,1,"16"
"333","10-Gre2LevSer-B2","B2","Lev","Ser","Gre","Gre Ser",18,0,"18"
"334","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",0,0,"0"
"335","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",2,1,"2"
"336","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",4,2,"4"
"337","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",7,2,"7"
"338","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",9,2,"9"
"339","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",11,2,"11"
"340","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",14,2,"14"
"341","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",16,2,"16"
"342","11-Can2LevSer-B2","B2","Lev","Ser","Can","Can Ser",18,2,"18"
"343","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",0,0,"0"
"344","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",2,0,"2"
"345","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",4,0,"4"
"346","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",7,0,"7"
"347","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",9,1,"9"
"348","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",11,1,"11"
"349","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",14,1,"14"
"350","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",16,1,"16"
"351","12-Ita2LevSer-B2","B2","Lev","Ser","Ita","Ita Ser",18,1,"18"
"352","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",0,0,"0"
"353","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",2,0,"2"
"354","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",4,0,"4"
"355","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",7,0,"7"
"356","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",9,0,"9"
"357","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",11,0,"11"
"358","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",14,1,"14"
"359","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",16,1,"16"
"360","13-Gre2LevSte-B2","B2","Lev","Ste","Gre","Gre Ste",18,1,"18"
"361","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",0,0,"0"
"362","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",2,0,"2"
"363","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",4,0,"4"
"364","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",7,0,"7"
"365","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",9,0,"9"
"366","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",11,0,"11"
"367","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",14,0,"14"
"368","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",16,0,"16"
"369","14-Can2LevSte-B2","B2","Lev","Ste","Can","Can Ste",18,0,"18"
"370","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",0,0,"0"
"371","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",2,0,"2"
"372","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",4,0,"4"
"373","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",7,0,"7"
"374","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",9,0,"9"
"375","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",11,0,"11"
"376","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",14,0,"14"
"377","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",16,0,"16"
"378","15-Ita2LevSte-B2","B2","Lev","Ste","Ita","Ita Ste",18,0,"18"
"379","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",0,0,"0"
"380","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",2,0,"2"
"381","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",4,1,"4"
"382","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",7,1,"7"
"383","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",9,1,"9"
"384","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",11,1,"11"
"385","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",14,2,"14"
"386","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",16,2,"16"
"387","16-Gre2ConSer-B2","B2","Con","Ser","Gre","Gre Ser",18,2,"18"
"388","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",0,0,"0"
"389","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",2,1,"2"
"390","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",4,1,"4"
"391","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",7,1,"7"
"392","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",9,1,"9"
"393","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",11,1,"11"
"394","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",14,2,"14"
"395","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",16,2,"16"
"396","17-Ita2ConSer-B2","B2","Con","Ser","Ita","Ita Ser",18,2,"18"
"397","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",0,0,"0"
"398","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",2,0,"2"
"399","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",4,1,"4"
"400","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",7,1,"7"
"401","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",9,1,"9"
"402","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",11,1,"11"
"403","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",14,1,"14"
"404","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",16,1,"16"
"405","18-Can2ConSer-B2","B2","Con","Ser","Can","Can Ser",18,1,"18"
"406","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",0,0,"0"
"407","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",2,0,"2"
"408","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",4,0,"4"
"409","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",7,0,"7"
"410","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",9,0,"9"
"411","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",11,0,"11"
"412","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",14,0,"14"
"413","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",16,0,"16"
"414","19-Gre2ConSte-B2","B2","Con","Ste","Gre","Gre Ste",18,0,"18"
"415","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",0,0,"0"
"416","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",2,0,"2"
"417","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",4,0,"4"
"418","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",7,0,"7"
"419","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",9,0,"9"
"420","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",11,0,"11"
"421","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",14,0,"14"
"422","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",16,1,"16"
"423","20-Ita2ConSte-B2","B2","Con","Ste","Ita","Ita Ste",18,1,"18"
"424","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",0,0,"0"
"425","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",2,0,"2"
"426","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",4,0,"4"
"427","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",7,0,"7"
"428","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",9,0,"9"
"429","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",11,0,"11"
"430","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",14,0,"14"
"431","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",16,0,"16"
"432","21-Can2ConSte-B2","B2","Con","Ste","Can","Can Ste",18,1,"18"
"433","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",0,0,"0"
"434","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",2,0,"2"
"435","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",4,0,"4"
"436","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",7,0,"7"
"437","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",9,0,"9"
"438","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",11,0,"11"
"439","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",14,0,"14"
"440","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",16,0,"16"
"441","22-Gre2BacSer-B2","B2","Bac","Ser","Gre","Gre Ser",18,0,"18"
"442","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",0,0,"0"
"443","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",2,1,"2"
"444","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",4,2,"4"
"445","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",7,3,"7"
"446","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",9,3,"9"
"447","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",11,3,"11"
"448","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",14,3,"14"
"449","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",16,3,"16"
"450","23-Can2BacSer-B2","B2","Bac","Ser","Can","Can Ser",18,3,"18"
"451","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",0,0,"0"
"452","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",2,0,"2"
"453","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",4,0,"4"
"454","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",7,0,"7"
"455","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",9,0,"9"
"456","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",11,0,"11"
"457","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",14,0,"14"
"458","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",16,0,"16"
"459","24-Ita2BacSer-B2","B2","Bac","Ser","Ita","Ita Ser",18,1,"18"
"460","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",0,0,"0"
"461","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",2,0,"2"
"462","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",4,0,"4"
"463","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",7,0,"7"
"464","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",9,0,"9"
"465","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",11,0,"11"
"466","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",14,0,"14"
"467","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",16,0,"16"
"468","25-Ita2BacNon-B2","B2","Bac","Non","Ita","Ita Non",18,0,"18"
"469","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",0,0,"0"
"470","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",2,0,"2"
"471","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",4,0,"4"
"472","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",7,0,"7"
"473","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",9,0,"9"
"474","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",11,0,"11"
"475","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",14,0,"14"
"476","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",16,0,"16"
"477","26-Gre2BacNon-B2","B2","Bac","Non","Gre","Gre Non",18,0,"18"
"478","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",0,0,"0"
"479","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",2,0,"2"
"480","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",4,0,"4"
"481","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",7,0,"7"
"482","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",9,0,"9"
"483","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",11,0,"11"
"484","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",14,0,"14"
"485","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",16,0,"16"
"486","27-Can2BacNon-B2","B2","Bac","Non","Can","Can Non",18,0,"18"
"487","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",0,0,"0"
"488","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",2,0,"2"
"489","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",4,0,"4"
"490","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",7,0,"7"
"491","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",9,0,"9"
"492","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",11,0,"11"
"493","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",14,0,"14"
"494","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",16,0,"16"
"495","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","Gre Ste",18,0,"18"
"496","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",0,0,"0"
"497","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",2,0,"2"
"498","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",4,0,"4"
"499","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",7,0,"7"
"500","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",9,0,"9"
"501","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",11,0,"11"
"502","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",14,0,"14"
"503","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",16,0,"16"
"504","2-Ita3LevSte-B3","B3","Lev","Ste","Ita","Ita Ste",18,0,"18"
"505","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",0,0,"0"
"506","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",2,0,"2"
"507","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",4,0,"4"
"508","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",7,0,"7"
"509","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",9,0,"9"
"510","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",11,0,"11"
"511","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",14,0,"14"
"512","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",16,0,"16"
"513","3-Can3LevSte-B3","B3","Lev","Ste","Can","Can Ste",18,0,"18"
"514","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",0,0,"0"
"515","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",2,0,"2"
"516","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",4,0,"4"
"517","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",7,0,"7"
"518","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",9,0,"9"
"519","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",11,0,"11"
"520","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",14,0,"14"
"521","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",16,0,"16"
"522","4-Can3LevNon-B3","B3","Lev","Non","Can","Can Non",18,0,"18"
"523","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",0,0,"0"
"524","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",2,0,"2"
"525","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",4,0,"4"
"526","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",7,0,"7"
"527","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",9,0,"9"
"528","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",11,0,"11"
"529","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",14,0,"14"
"530","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",16,0,"16"
"531","5-Ita3LevNon-B3","B3","Lev","Non","Ita","Ita Non",18,0,"18"
"532","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",0,0,"0"
"533","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",2,0,"2"
"534","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",4,0,"4"
"535","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",7,0,"7"
"536","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",9,0,"9"
"537","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",11,1,"11"
"538","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",14,1,"14"
"539","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",16,1,"16"
"540","6-Gre3LevNon-B3","B3","Lev","Non","Gre","Gre Non",18,1,"18"
"541","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",0,0,"0"
"542","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",2,0,"2"
"543","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",4,0,"4"
"544","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",7,0,"7"
"545","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",9,0,"9"
"546","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",11,0,"11"
"547","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",14,0,"14"
"548","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",16,0,"16"
"549","7-Ita3ConSer-B3","B3","Con","Ser","Ita","Ita Ser",18,0,"18"
"550","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",0,0,"0"
"551","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",2,0,"2"
"552","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",4,0,"4"
"553","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",7,0,"7"
"554","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",9,0,"9"
"555","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",11,1,"11"
"556","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",14,1,"14"
"557","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",16,1,"16"
"558","8-Can3ConSer-B3","B3","Con","Ser","Can","Can Ser",18,2,"18"
"559","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",0,0,"0"
"560","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",2,1,"2"
"561","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",4,1,"4"
"562","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",7,1,"7"
"563","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",9,1,"9"
"564","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",11,1,"11"
"565","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",14,1,"14"
"566","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",16,1,"16"
"567","9-Gre3ConSer-B3","B3","Con","Ser","Gre","Gre Ser",18,1,"18"
"568","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",0,0,"0"
"569","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",2,0,"2"
"570","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",4,0,"4"
"571","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",7,0,"7"
"572","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",9,0,"9"
"573","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",11,0,"11"
"574","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",14,0,"14"
"575","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",16,0,"16"
"576","10-Gre3BacSer-B3","B3","Bac","Ser","Gre","Gre Ser",18,0,"18"
"577","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",0,0,"0"
"578","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",2,0,"2"
"579","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",4,1,"4"
"580","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",7,1,"7"
"581","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",9,3,"9"
"582","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",11,3,"11"
"583","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",14,3,"14"
"584","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",16,4,"16"
"585","11-Ita3BacSer-B3","B3","Bac","Ser","Ita","Ita Ser",18,4,"18"
"586","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",0,0,"0"
"587","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",2,0,"2"
"588","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",4,0,"4"
"589","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",7,0,"7"
"590","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",9,0,"9"
"591","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",11,0,"11"
"592","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",14,0,"14"
"593","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",16,0,"16"
"594","12-Can3BacSer-B3","B3","Bac","Ser","Can","Can Ser",18,0,"18"
"595","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",0,0,"0"
"596","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",2,0,"2"
"597","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",4,0,"4"
"598","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",7,0,"7"
"599","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",9,0,"9"
"600","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",11,0,"11"
"601","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",14,0,"14"
"602","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",16,0,"16"
"603","13-Ita3ConNon-B3","B3","Con","Non","Ita","Ita Non",18,0,"18"
"604","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",0,0,"0"
"605","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",2,0,"2"
"606","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",4,0,"4"
"607","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",7,0,"7"
"608","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",9,0,"9"
"609","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",11,0,"11"
"610","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",14,0,"14"
"611","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",16,0,"16"
"612","14-Gre3ConNon-B3","B3","Con","Non","Gre","Gre Non",18,0,"18"
"613","15-Can3ConNon-B3","B3","Con","Non","Can","Can Non",0,0,"0"
"614","15-Can3ConNon-B3","B3","Con","Non","Can","Can Non",2,0,"2"
"615","15-Can3ConNon-B3","B3","Con","Non","Can","Can Non",4,0,"4"
"616","15-Can3ConNon-B3","B3","Con","Non","Can","Can Non",7,0,"7"
