"","Identity","Bloc","Trt","Wound","Strain","group","Time","Mort_Acc","Times"
"70","8-Ita1LevNon-B1","B1","Lev","Non","Ita","Ita Non",14,0,"14"
"71","8-Ita1LevNon-B1","B1","Lev","Non","Ita","Ita Non",16,0,"16"
"72","8-Ita1LevNon-B1","B1","Lev","Non","Ita","Ita Non",18,0,"18"
"73","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",0,0,"0"
"74","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",2,0,"2"
"75","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",4,0,"4"
"76","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",7,0,"7"
"77","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",9,0,"9"
"78","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",11,0,"11"
"79","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",14,0,"14"
"80","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",16,0,"16"
"81","9-Can1LevNon-B1","B1","Lev","Non","Can","Can Non",18,0,"18"
"82","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",0,0,"0"
"83","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",2,0,"2"
"84","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",4,0,"4"
"85","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",7,0,"7"
"86","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",9,0,"9"
"87","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",11,0,"11"
"88","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",14,0,"14"
"89","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",16,0,"16"
"90","10-Gre1ConNon-B1","B1","Con","Non","Gre","Gre Non",18,0,"18"
"91","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",0,0,"0"
"92","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",2,0,"2"
"93","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",4,0,"4"
"94","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",7,0,"7"
"95","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",9,0,"9"
"96","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",11,0,"11"
"97","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",14,0,"14"
"98","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",16,0,"16"
"99","11-Ita1ConNon-B1","B1","Con","Non","Ita","Ita Non",18,0,"18"
"100","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",0,0,"0"
"101","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",2,0,"2"
"102","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",4,0,"4"
"103","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",7,0,"7"
"104","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",9,0,"9"
"105","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",11,0,"11"
"106","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",14,0,"14"
"107","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",16,0,"16"
"108","12-Can1ConNon-B1","B1","Con","Non","Can","Can Non",18,0,"18"
"109","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",0,0,"0"
"110","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",2,0,"2"
"111","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",4,0,"4"
"112","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",7,0,"7"
"113","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",9,0,"9"
"114","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",11,0,"11"
"115","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",14,0,"14"
"116","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",16,1,"16"
"117","13-Gre1BacSte-B1","B1","Bac","Ste","Gre","Gre Ste",18,1,"18"
"118","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",0,0,"0"
"119","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",2,0,"2"
"120","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",4,0,"4"
"121","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",7,1,"7"
"122","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",9,1,"9"
"123","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",11,1,"11"
"124","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",14,1,"14"
"125","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",16,1,"16"
"126","14-Ita1BacSte-B1","B1","Bac","Ste","Ita","Ita Ste",18,1,"18"
"127","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",0,0,"0"
"128","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",2,0,"2"
"129","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",4,0,"4"
"130","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",7,0,"7"
"131","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",9,0,"9"
"132","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",11,0,"11"
"133","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",14,0,"14"
"134","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",16,0,"16"
"135","15-Can1BacSte-B1","B1","Bac","Ste","Can","Can Ste",18,0,"18"
"136","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",0,0,"0"
"137","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",2,0,"2"
"138","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",4,0,"4"
"139","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",7,0,"7"
"140","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",9,0,"9"
"141","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",11,0,"11"
"142","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",14,0,"14"
"143","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",16,0,"16"
"144","16-Ita1ConSte-B1","B1","Con","Ste","Ita","Ita Ste",18,0,"18"
"145","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",0,0,"0"
"146","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",2,0,"2"
"147","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",4,0,"4"
"148","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",7,0,"7"
"149","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",9,0,"9"
"150","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",11,0,"11"
"151","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",14,0,"14"
"152","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",16,0,"16"
"153","17-Can1ConSte-B1","B1","Con","Ste","Can","Can Ste",18,0,"18"
"154","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",0,0,"0"
"155","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",2,0,"2"
"156","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",4,0,"4"
"157","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",7,0,"7"
"158","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",9,0,"9"
"159","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",11,0,"11"
"160","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",14,0,"14"
"161","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",16,0,"16"
"162","18-Gre1ConSte-B1","B1","Con","Ste","Gre","Gre Ste",18,0,"18"
"163","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",0,0,"0"
"164","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",2,0,"2"
"165","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",4,0,"4"
"166","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",7,0,"7"
"167","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",9,0,"9"
"168","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",11,0,"11"
"169","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",14,0,"14"
"170","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",16,0,"16"
"171","19-Gre1LevSte-B1","B1","Lev","Ste","Gre","Gre Ste",18,0,"18"
"172","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",0,0,"0"
"173","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",2,0,"2"
"174","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",4,0,"4"
"175","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",7,1,"7"
"176","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",9,1,"9"
"177","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",11,1,"11"
"178","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",14,1,"14"
"179","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",16,1,"16"
"180","20-Ita1LevSte-B1","B1","Lev","Ste","Ita","Ita Ste",18,2,"18"
"181","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",0,0,"0"
"182","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",2,0,"2"
"183","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",4,0,"4"
"184","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",7,0,"7"
"185","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",9,0,"9"
"186","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",11,0,"11"
"187","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",14,0,"14"
"188","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",16,0,"16"
"189","21-Can1LevSte-B1","B1","Lev","Ste","Can","Can Ste",18,0,"18"
"190","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",0,0,"0"
"191","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",2,1,"2"
"192","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",4,1,"4"
"193","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",7,1,"7"
"194","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",9,1,"9"
"195","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",11,1,"11"
"196","22-Can1BacSer-B1","B1","Bac","Ser","Can","Can Ser",14,1,"14"
