Rep,Bloc,Trt,Strain,Time,Survival,Mortality
FraB8,B8,B,Fra,3,10,0
FraB8,B8,B,Fra,4,10,0
FraB8,B8,B,Fra,5,10,0
FraB8,B8,B,Fra,6,10,0
FraB8,B8,B,Fra,7,10,0
FraB8,B8,B,Fra,8,9,10
FraB8,B8,B,Fra,9,9,10
FraB8,B8,B,Fra,10,9,10
FraB8,B8,B,Fra,11,9,10
FraB8,B8,B,Fra,12,9,10
FraB8,B8,B,Fra,13,9,10
FraB8,B8,B,Fra,14,9,10
FraB8,B8,B,Fra,0,10,0
FraB9,B9,B,Fra,1,10,0
FraB9,B9,B,Fra,2,10,0
FraB9,B9,B,Fra,3,10,0
FraB9,B9,B,Fra,4,10,0
FraB9,B9,B,Fra,5,10,0
FraB9,B9,B,Fra,6,10,0
FraB9,B9,B,Fra,7,10,0
FraB9,B9,B,Fra,8,10,0
FraB9,B9,B,Fra,9,10,0
FraB9,B9,B,Fra,10,10,0
FraB9,B9,B,Fra,11,10,0
FraB9,B9,B,Fra,12,10,0
FraB9,B9,B,Fra,13,10,0
FraB9,B9,B,Fra,14,10,0
FraB9,B9,B,Fra,0,10,0
FraC1,B1,C,Fra,1,10,0
FraC1,B1,C,Fra,2,10,0
FraC1,B1,C,Fra,3,10,0
FraC1,B1,C,Fra,4,10,0
FraC1,B1,C,Fra,5,10,0
FraC1,B1,C,Fra,6,10,0
FraC1,B1,C,Fra,7,10,0
FraC1,B1,C,Fra,8,10,0
FraC1,B1,C,Fra,9,10,0
FraC1,B1,C,Fra,10,10,0
FraC1,B1,C,Fra,11,10,0
FraC1,B1,C,Fra,12,10,0
FraC1,B1,C,Fra,13,10,0
FraC1,B1,C,Fra,14,10,0
FraC1,B1,C,Fra,0,10,0
FraC10,B10,C,Fra,1,10,0
FraC10,B10,C,Fra,2,10,0
FraC10,B10,C,Fra,3,10,0
FraC10,B10,C,Fra,4,10,0
FraC10,B10,C,Fra,5,10,0
FraC10,B10,C,Fra,6,10,0
FraC10,B10,C,Fra,7,10,0
FraC10,B10,C,Fra,8,10,0
FraC10,B10,C,Fra,9,10,0
FraC10,B10,C,Fra,10,10,0
FraC10,B10,C,Fra,11,10,0
FraC10,B10,C,Fra,12,10,0
FraC10,B10,C,Fra,13,10,0
FraC10,B10,C,Fra,14,10,0
FraC10,B10,C,Fra,0,10,0
FraC2,B2,C,Fra,1,10,0
FraC2,B2,C,Fra,2,10,0
FraC2,B2,C,Fra,3,10,0
FraC2,B2,C,Fra,4,10,0
FraC2,B2,C,Fra,5,10,0
FraC2,B2,C,Fra,6,10,0
FraC2,B2,C,Fra,7,10,0
FraC2,B2,C,Fra,8,10,0
FraC2,B2,C,Fra,9,10,0
FraC2,B2,C,Fra,10,10,0
FraC2,B2,C,Fra,11,10,0
FraC2,B2,C,Fra,12,10,0
FraC2,B2,C,Fra,13,10,0
FraC2,B2,C,Fra,14,10,0
FraC2,B2,C,Fra,0,10,0
FraC3,B3,C,Fra,1,10,0
FraC3,B3,C,Fra,2,10,0
FraC3,B3,C,Fra,3,10,0
FraC3,B3,C,Fra,4,10,0
FraC3,B3,C,Fra,5,10,0
FraC3,B3,C,Fra,6,10,0
FraC3,B3,C,Fra,7,10,0
FraC3,B3,C,Fra,8,10,0
FraC3,B3,C,Fra,9,10,0
FraC3,B3,C,Fra,10,10,0
FraC3,B3,C,Fra,11,10,0
FraC3,B3,C,Fra,12,10,0
FraC3,B3,C,Fra,13,10,0
FraC3,B3,C,Fra,14,10,0
FraC3,B3,C,Fra,0,10,0
FraC4,B4,C,Fra,1,10,0
FraC4,B4,C,Fra,2,10,0
FraC4,B4,C,Fra,3,10,0
FraC4,B4,C,Fra,4,10,0
FraC4,B4,C,Fra,5,10,0
FraC4,B4,C,Fra,6,10,0
FraC4,B4,C,Fra,7,10,0
FraC4,B4,C,Fra,8,10,0
FraC4,B4,C,Fra,9,10,0
FraC4,B4,C,Fra,10,10,0
FraC4,B4,C,Fra,11,10,0
FraC4,B4,C,Fra,12,10,0
FraC4,B4,C,Fra,13,10,0
FraC4,B4,C,Fra,14,10,0
FraC4,B4,C,Fra,0,10,0
FraC5,B5,C,Fra,1,10,0
FraC5,B5,C,Fra,2,10,0
FraC5,B5,C,Fra,3,10,0
FraC5,B5,C,Fra,4,10,0
FraC5,B5,C,Fra,5,10,0
FraC5,B5,C,Fra,6,10,0
FraC5,B5,C,Fra,7,10,0
FraC5,B5,C,Fra,8,10,0
FraC5,B5,C,Fra,9,10,0
FraC5,B5,C,Fra,10,10,0
FraC5,B5,C,Fra,11,10,0
FraC5,B5,C,Fra,12,10,0
FraC5,B5,C,Fra,13,10,0
FraC5,B5,C,Fra,14,10,0
FraC5,B5,C,Fra,0,10,0
FraC6,B6,C,Fra,1,10,0
FraC6,B6,C,Fra,2,10,0
FraC6,B6,C,Fra,3,10,0
FraC6,B6,C,Fra,4,10,0
FraC6,B6,C,Fra,5,10,0
FraC6,B6,C,Fra,6,10,0
FraC6,B6,C,Fra,7,10,0
FraC6,B6,C,Fra,8,10,0
FraC6,B6,C,Fra,9,10,0
FraC6,B6,C,Fra,10,10,0
FraC6,B6,C,Fra,11,10,0
FraC6,B6,C,Fra,12,10,0
FraC6,B6,C,Fra,13,10,0
FraC6,B6,C,Fra,14,10,0
FraC6,B6,C,Fra,0,10,0
FraC7,B7,C,Fra,1,9,10
FraC7,B7,C,Fra,2,9,10
FraC7,B7,C,Fra,3,9,10
FraC7,B7,C,Fra,4,9,10
FraC7,B7,C,Fra,5,9,10
FraC7,B7,C,Fra,6,9,10
FraC7,B7,C,Fra,7,9,10
FraC7,B7,C,Fra,8,9,10
FraC7,B7,C,Fra,9,9,10
FraC7,B7,C,Fra,10,9,10
FraC7,B7,C,Fra,11,9,10
FraC7,B7,C,Fra,12,9,10
FraC7,B7,C,Fra,13,9,10
FraC7,B7,C,Fra,14,9,10
FraC7,B7,C,Fra,0,10,0
FraC8,B8,C,Fra,1,10,0
FraC8,B8,C,Fra,2,10,0
FraC8,B8,C,Fra,3,10,0
FraC8,B8,C,Fra,4,10,0
FraC8,B8,C,Fra,5,10,0
FraC8,B8,C,Fra,6,10,0
FraC8,B8,C,Fra,7,10,0
FraC8,B8,C,Fra,8,10,0
FraC8,B8,C,Fra,9,10,0
FraC8,B8,C,Fra,10,10,0
FraC8,B8,C,Fra,11,10,0
FraC8,B8,C,Fra,12,10,0
FraC8,B8,C,Fra,13,10,0
FraC8,B8,C,Fra,14,10,0
FraC8,B8,C,Fra,0,10,0
FraC9,B9,C,Fra,1,9,10
FraC9,B9,C,Fra,2,9,10
FraC9,B9,C,Fra,3,9,10
FraC9,B9,C,Fra,4,9,10
FraC9,B9,C,Fra,5,9,10
FraC9,B9,C,Fra,6,9,10
FraC9,B9,C,Fra,7,9,10
FraC9,B9,C,Fra,8,9,10
FraC9,B9,C,Fra,9,9,10
FraC9,B9,C,Fra,10,9,10
FraC9,B9,C,Fra,11,9,10
FraC9,B9,C,Fra,12,9,10
FraC9,B9,C,Fra,13,9,10
FraC9,B9,C,Fra,14,9,10
FraC9,B9,C,Fra,0,10,0
GreB1,B1,B,Gre,1,10,0
GreB1,B1,B,Gre,2,10,0
GreB1,B1,B,Gre,3,10,0
GreB1,B1,B,Gre,4,10,0
GreB1,B1,B,Gre,5,10,0
GreB1,B1,B,Gre,6,10,0
GreB1,B1,B,Gre,7,10,0
GreB1,B1,B,Gre,8,10,0
GreB1,B1,B,Gre,9,10,0
GreB1,B1,B,Gre,10,9,10
GreB1,B1,B,Gre,11,9,10
GreB1,B1,B,Gre,12,9,10
GreB1,B1,B,Gre,13,9,10
GreB1,B1,B,Gre,14,9,10
GreB1,B1,B,Gre,0,10,0
GreB10,B10,B,Gre,1,9,10
GreB10,B10,B,Gre,2,8,20
GreB10,B10,B,Gre,3,8,20
GreB10,B10,B,Gre,4,8,20
GreB10,B10,B,Gre,5,8,20
GreB10,B10,B,Gre,6,8,20
GreB10,B10,B,Gre,7,7,30
GreB10,B10,B,Gre,8,6,40
GreB10,B10,B,Gre,9,6,40
GreB10,B10,B,Gre,10,6,40
GreB10,B10,B,Gre,11,4,60
GreB10,B10,B,Gre,12,3,70
GreB10,B10,B,Gre,13,3,70
GreB10,B10,B,Gre,14,3,70
GreB10,B10,B,Gre,0,10,0
GreB2,B2,B,Gre,1,10,0
GreB2,B2,B,Gre,2,10,0
GreB2,B2,B,Gre,3,10,0
GreB2,B2,B,Gre,4,10,0
GreB2,B2,B,Gre,5,10,0
GreB2,B2,B,Gre,6,10,0
GreB2,B2,B,Gre,7,10,0
GreB2,B2,B,Gre,8,10,0
GreB2,B2,B,Gre,9,10,0
GreB2,B2,B,Gre,10,9,10
GreB2,B2,B,Gre,11,9,10
GreB2,B2,B,Gre,12,9,10
GreB2,B2,B,Gre,13,9,10
GreB2,B2,B,Gre,14,9,10
GreB2,B2,B,Gre,0,10,0
GreB3,B3,B,Gre,1,10,0
GreB3,B3,B,Gre,2,10,0
GreB3,B3,B,Gre,3,10,0
GreB3,B3,B,Gre,4,10,0
GreB3,B3,B,Gre,5,10,0
GreB3,B3,B,Gre,6,10,0
GreB3,B3,B,Gre,7,10,0
GreB3,B3,B,Gre,8,10,0
GreB3,B3,B,Gre,9,10,0
GreB3,B3,B,Gre,10,10,0
GreB3,B3,B,Gre,11,10,0
GreB3,B3,B,Gre,12,9,10
GreB3,B3,B,Gre,13,9,10
GreB3,B3,B,Gre,14,9,10
GreB3,B3,B,Gre,0,10,0
GreB4,B4,B,Gre,1,9,10
GreB4,B4,B,Gre,2,9,10
GreB4,B4,B,Gre,3,9,10
GreB4,B4,B,Gre,4,9,10
GreB4,B4,B,Gre,5,9,10
GreB4,B4,B,Gre,6,9,10
GreB4,B4,B,Gre,7,9,10
GreB4,B4,B,Gre,8,9,10
GreB4,B4,B,Gre,9,9,10
GreB4,B4,B,Gre,10,9,10
GreB4,B4,B,Gre,11,9,10
GreB4,B4,B,Gre,12,9,10
GreB4,B4,B,Gre,13,9,10
GreB4,B4,B,Gre,14,8,20
GreB4,B4,B,Gre,0,10,0
GreB5,B5,B,Gre,1,10,0
GreB5,B5,B,Gre,2,9,10
GreB5,B5,B,Gre,3,9,10
GreB5,B5,B,Gre,4,9,10
GreB5,B5,B,Gre,5,9,10
GreB5,B5,B,Gre,6,8,20
GreB5,B5,B,Gre,7,8,20
GreB5,B5,B,Gre,8,8,20
GreB5,B5,B,Gre,9,7,30
GreB5,B5,B,Gre,10,7,30
GreB5,B5,B,Gre,11,7,30
GreB5,B5,B,Gre,12,7,30
GreB5,B5,B,Gre,13,7,30
GreB5,B5,B,Gre,14,7,30
GreB5,B5,B,Gre,0,10,0
GreB6,B6,B,Gre,1,9,10
GreB6,B6,B,Gre,2,9,10
GreB6,B6,B,Gre,3,9,10
GreB6,B6,B,Gre,4,9,10
GreB6,B6,B,Gre,5,9,10
GreB6,B6,B,Gre,6,9,10
GreB6,B6,B,Gre,7,9,10
GreB6,B6,B,Gre,8,9,10
GreB6,B6,B,Gre,9,9,10
GreB6,B6,B,Gre,10,9,10
GreB6,B6,B,Gre,11,9,10
GreB6,B6,B,Gre,12,9,10
GreB6,B6,B,Gre,13,9,10
GreB6,B6,B,Gre,14,8,20
GreB6,B6,B,Gre,0,10,0
GreB7,B7,B,Gre,1,10,0
GreB7,B7,B,Gre,2,9,10
GreB7,B7,B,Gre,3,9,10
GreB7,B7,B,Gre,4,9,10
GreB7,B7,B,Gre,5,9,10
GreB7,B7,B,Gre,6,9,10
GreB7,B7,B,Gre,7,9,10
GreB7,B7,B,Gre,8,9,10
GreB7,B7,B,Gre,9,8,20
GreB7,B7,B,Gre,10,8,20
GreB7,B7,B,Gre,11,8,20
GreB7,B7,B,Gre,12,7,30
GreB7,B7,B,Gre,13,7,30
GreB7,B7,B,Gre,14,7,30
GreB7,B7,B,Gre,0,10,0
GreB8,B8,B,Gre,1,8,20
GreB8,B8,B,Gre,2,8,20
GreB8,B8,B,Gre,3,8,20
GreB8,B8,B,Gre,4,8,20
GreB8,B8,B,Gre,5,8,20
GreB8,B8,B,Gre,6,8,20
GreB8,B8,B,Gre,7,8,20
GreB8,B8,B,Gre,8,7,30
GreB8,B8,B,Gre,9,7,30
GreB8,B8,B,Gre,10,6,40
GreB8,B8,B,Gre,11,6,40
GreB8,B8,B,Gre,12,6,40
GreB8,B8,B,Gre,13,6,40
GreB8,B8,B,Gre,14,6,40
GreB8,B8,B,Gre,0,10,0
GreB9,B9,B,Gre,1,10,0
GreB9,B9,B,Gre,2,9,10
GreB9,B9,B,Gre,3,9,10
GreB9,B9,B,Gre,4,9,10
GreB9,B9,B,Gre,5,9,10
GreB9,B9,B,Gre,6,9,10
GreB9,B9,B,Gre,7,9,10
GreB9,B9,B,Gre,8,9,10
GreB9,B9,B,Gre,9,9,10
GreB9,B9,B,Gre,10,7,30
GreB9,B9,B,Gre,11,7,30
GreB9,B9,B,Gre,12,7,30
GreB9,B9,B,Gre,13,7,30
GreB9,B9,B,Gre,14,7,30
GreB9,B9,B,Gre,0,10,0
GreC1,B1,C,Gre,1,10,0
GreC1,B1,C,Gre,2,10,0
GreC1,B1,C,Gre,3,10,0
GreC1,B1,C,Gre,4,10,0
GreC1,B1,C,Gre,5,10,0
GreC1,B1,C,Gre,6,10,0
GreC1,B1,C,Gre,7,10,0
GreC1,B1,C,Gre,8,10,0
GreC1,B1,C,Gre,9,10,0
GreC1,B1,C,Gre,10,9,10
GreC1,B1,C,Gre,11,9,10
GreC1,B1,C,Gre,12,9,10
GreC1,B1,C,Gre,13,9,10
GreC1,B1,C,Gre,14,9,10
GreC1,B1,C,Gre,0,10,0
GreC10,B10,C,Gre,1,10,0
GreC10,B10,C,Gre,2,10,0
GreC10,B10,C,Gre,3,10,0
GreC10,B10,C,Gre,4,10,0
GreC10,B10,C,Gre,5,10,0
GreC10,B10,C,Gre,6,10,0
GreC10,B10,C,Gre,7,10,0
GreC10,B10,C,Gre,8,10,0
GreC10,B10,C,Gre,9,10,0
GreC10,B10,C,Gre,10,10,0
GreC10,B10,C,Gre,11,10,0
GreC10,B10,C,Gre,12,10,0
GreC10,B10,C,Gre,13,10,0
GreC10,B10,C,Gre,14,10,0
GreC10,B10,C,Gre,0,10,0
GreC2,B2,C,Gre,1,10,0
GreC2,B2,C,Gre,2,10,0
GreC2,B2,C,Gre,3,10,0
GreC2,B2,C,Gre,4,10,0
GreC2,B2,C,Gre,5,10,0
GreC2,B2,C,Gre,6,10,0
GreC2,B2,C,Gre,7,10,0
GreC2,B2,C,Gre,8,10,0
GreC2,B2,C,Gre,9,10,0
GreC2,B2,C,Gre,10,9,10
GreC2,B2,C,Gre,11,9,10
GreC2,B2,C,Gre,12,9,10
GreC2,B2,C,Gre,13,9,10
GreC2,B2,C,Gre,14,9,10
GreC2,B2,C,Gre,0,10,0
GreC3,B3,C,Gre,1,10,0
GreC3,B3,C,Gre,2,10,0
GreC3,B3,C,Gre,3,10,0
GreC3,B3,C,Gre,4,10,0
GreC3,B3,C,Gre,5,10,0
GreC3,B3,C,Gre,6,10,0
GreC3,B3,C,Gre,7,10,0
GreC3,B3,C,Gre,8,9,10
GreC3,B3,C,Gre,9,9,10
GreC3,B3,C,Gre,10,9,10
GreC3,B3,C,Gre,11,9,10
GreC3,B3,C,Gre,12,9,10
GreC3,B3,C,Gre,13,9,10
GreC3,B3,C,Gre,14,9,10
GreC3,B3,C,Gre,0,10,0
GreC4,B4,C,Gre,1,10,0
GreC4,B4,C,Gre,2,10,0
GreC4,B4,C,Gre,3,10,0
GreC4,B4,C,Gre,4,10,0
GreC4,B4,C,Gre,5,10,0
GreC4,B4,C,Gre,6,10,0
GreC4,B4,C,Gre,7,10,0
GreC4,B4,C,Gre,8,10,0
GreC4,B4,C,Gre,9,10,0
GreC4,B4,C,Gre,10,10,0
GreC4,B4,C,Gre,11,10,0
GreC4,B4,C,Gre,12,10,0
GreC4,B4,C,Gre,13,10,0
GreC4,B4,C,Gre,14,10,0
GreC4,B4,C,Gre,0,10,0
GreC5,B5,C,Gre,1,10,0
GreC5,B5,C,Gre,2,10,0
GreC5,B5,C,Gre,3,10,0
GreC5,B5,C,Gre,4,10,0
GreC5,B5,C,Gre,5,10,0
GreC5,B5,C,Gre,6,10,0
GreC5,B5,C,Gre,7,10,0
GreC5,B5,C,Gre,8,10,0
GreC5,B5,C,Gre,9,10,0
GreC5,B5,C,Gre,10,10,0
GreC5,B5,C,Gre,11,10,0
GreC5,B5,C,Gre,12,10,0
GreC5,B5,C,Gre,13,10,0
GreC5,B5,C,Gre,14,10,0
GreC5,B5,C,Gre,0,10,0
GreC6,B6,C,Gre,1,10,0
GreC6,B6,C,Gre,2,10,0
GreC6,B6,C,Gre,3,10,0
GreC6,B6,C,Gre,4,10,0
GreC6,B6,C,Gre,5,10,0
GreC6,B6,C,Gre,6,10,0
GreC6,B6,C,Gre,7,10,0
GreC6,B6,C,Gre,8,10,0
GreC6,B6,C,Gre,9,10,0
GreC6,B6,C,Gre,10,10,0
GreC6,B6,C,Gre,11,10,0
GreC6,B6,C,Gre,12,10,0
GreC6,B6,C,Gre,13,10,0
GreC6,B6,C,Gre,14,10,0
GreC6,B6,C,Gre,0,10,0
GreC7,B7,C,Gre,1,10,0
GreC7,B7,C,Gre,2,10,0
GreC7,B7,C,Gre,3,10,0
GreC7,B7,C,Gre,4,10,0
GreC7,B7,C,Gre,5,10,0
GreC7,B7,C,Gre,6,10,0
GreC7,B7,C,Gre,7,10,0
GreC7,B7,C,Gre,8,10,0
GreC7,B7,C,Gre,9,10,0
GreC7,B7,C,Gre,10,10,0
GreC7,B7,C,Gre,11,10,0
GreC7,B7,C,Gre,12,10,0
GreC7,B7,C,Gre,13,9,10
GreC7,B7,C,Gre,14,9,10
GreC7,B7,C,Gre,0,10,0
GreC8,B8,C,Gre,1,10,0
GreC8,B8,C,Gre,2,10,0
GreC8,B8,C,Gre,3,10,0
GreC8,B8,C,Gre,4,10,0
GreC8,B8,C,Gre,5,10,0
GreC8,B8,C,Gre,6,10,0
GreC8,B8,C,Gre,7,10,0
GreC8,B8,C,Gre,8,10,0
GreC8,B8,C,Gre,9,10,0
GreC8,B8,C,Gre,10,10,0
GreC8,B8,C,Gre,11,10,0
GreC8,B8,C,Gre,12,10,0
GreC8,B8,C,Gre,13,10,0
GreC8,B8,C,Gre,14,10,0
GreC8,B8,C,Gre,0,10,0
GreC9,B9,C,Gre,1,10,0
GreC9,B9,C,Gre,2,10,0
GreC9,B9,C,Gre,3,10,0
GreC9,B9,C,Gre,4,10,0
GreC9,B9,C,Gre,5,10,0
GreC9,B9,C,Gre,6,10,0
GreC9,B9,C,Gre,7,10,0
GreC9,B9,C,Gre,8,10,0
GreC9,B9,C,Gre,9,10,0
GreC9,B9,C,Gre,10,10,0
GreC9,B9,C,Gre,11,10,0
GreC9,B9,C,Gre,12,10,0
GreC9,B9,C,Gre,13,10,0
GreC9,B9,C,Gre,14,10,0
GreC9,B9,C,Gre,0,10,0
Inv1B1,B1,B,Inv1,1,10,0
Inv1B1,B1,B,Inv1,2,10,0
Inv1B1,B1,B,Inv1,3,10,0
Inv1B1,B1,B,Inv1,4,10,0
Inv1B1,B1,B,Inv1,5,10,0
Inv1B1,B1,B,Inv1,6,10,0
Inv1B1,B1,B,Inv1,7,10,0
Inv1B1,B1,B,Inv1,8,8,20
Inv1B1,B1,B,Inv1,9,8,20
Inv1B1,B1,B,Inv1,10,8,20
Inv1B1,B1,B,Inv1,11,8,20
Inv1B1,B1,B,Inv1,12,8,20
Inv1B1,B1,B,Inv1,13,8,20
Inv1B1,B1,B,Inv1,14,7,30
Inv1B1,B1,B,Inv1,0,10,0
Inv1B10,B10,B,Inv1,1,9,10
Inv1B10,B10,B,Inv1,2,9,10
Inv1B10,B10,B,Inv1,3,9,10
Inv1B10,B10,B,Inv1,4,9,10
Inv1B10,B10,B,Inv1,5,9,10
Inv1B10,B10,B,Inv1,6,9,10
Inv1B10,B10,B,Inv1,7,9,10
Inv1B10,B10,B,Inv1,8,8,20
Inv1B10,B10,B,Inv1,9,8,20
Inv1B10,B10,B,Inv1,10,7,30
Inv1B10,B10,B,Inv1,11,7,30
Inv1B10,B10,B,Inv1,12,7,30
Inv1B10,B10,B,Inv1,13,7,30
Inv1B10,B10,B,Inv1,14,7,30
Inv1B10,B10,B,Inv1,0,10,0
Inv1B2,B2,B,Inv1,1,10,0
Inv1B2,B2,B,Inv1,2,10,0
Inv1B2,B2,B,Inv1,3,10,0
Inv1B2,B2,B,Inv1,4,9,10
Inv1B2,B2,B,Inv1,5,9,10
Inv1B2,B2,B,Inv1,6,9,10
Inv1B2,B2,B,Inv1,7,8,20
Inv1B2,B2,B,Inv1,8,8,20
Inv1B2,B2,B,Inv1,9,8,20
Inv1B2,B2,B,Inv1,10,8,20
Inv1B2,B2,B,Inv1,11,8,20
Inv1B2,B2,B,Inv1,12,6,40
Inv1B2,B2,B,Inv1,13,5,50
Inv1B2,B2,B,Inv1,14,5,50
Inv1B2,B2,B,Inv1,0,10,0
Inv1B3,B3,B,Inv1,1,9,10
Inv1B3,B3,B,Inv1,2,8,20
Inv1B3,B3,B,Inv1,3,8,20
Inv1B3,B3,B,Inv1,4,8,20
Inv1B3,B3,B,Inv1,5,8,20
Inv1B3,B3,B,Inv1,6,8,20
Inv1B3,B3,B,Inv1,7,8,20
Inv1B3,B3,B,Inv1,8,7,30
Inv1B3,B3,B,Inv1,9,6,40
Inv1B3,B3,B,Inv1,10,4,60
Inv1B3,B3,B,Inv1,11,4,60
Inv1B3,B3,B,Inv1,12,4,60
Inv1B3,B3,B,Inv1,13,4,60
Inv1B3,B3,B,Inv1,14,4,60
Inv1B3,B3,B,Inv1,0,10,0
Inv1B4,B4,B,Inv1,1,10,0
Inv1B4,B4,B,Inv1,2,10,0
Inv1B4,B4,B,Inv1,3,10,0
Inv1B4,B4,B,Inv1,4,10,0
Inv1B4,B4,B,Inv1,5,10,0
Inv1B4,B4,B,Inv1,6,10,0
Inv1B4,B4,B,Inv1,7,10,0
Inv1B4,B4,B,Inv1,8,10,0
Inv1B4,B4,B,Inv1,9,10,0
Inv1B4,B4,B,Inv1,10,10,0
Inv1B4,B4,B,Inv1,11,10,0
Inv1B4,B4,B,Inv1,12,9,10
Inv1B4,B4,B,Inv1,13,9,10
Inv1B4,B4,B,Inv1,14,8,20
Inv1B4,B4,B,Inv1,0,10,0
Inv1B5,B5,B,Inv1,1,10,0
Inv1B5,B5,B,Inv1,2,10,0
Inv1B5,B5,B,Inv1,3,9,10
Inv1B5,B5,B,Inv1,4,9,10
Inv1B5,B5,B,Inv1,5,9,10
Inv1B5,B5,B,Inv1,6,9,10
Inv1B5,B5,B,Inv1,7,9,10
Inv1B5,B5,B,Inv1,8,9,10
Inv1B5,B5,B,Inv1,9,9,10
Inv1B5,B5,B,Inv1,10,9,10
Inv1B5,B5,B,Inv1,11,9,10
Inv1B5,B5,B,Inv1,12,9,10
Inv1B5,B5,B,Inv1,13,9,10
Inv1B5,B5,B,Inv1,14,8,20
Inv1B5,B5,B,Inv1,0,10,0
Inv1B6,B6,B,Inv1,1,9,10
Inv1B6,B6,B,Inv1,2,9,10
Inv1B6,B6,B,Inv1,3,9,10
Inv1B6,B6,B,Inv1,4,9,10
Inv1B6,B6,B,Inv1,5,9,10
Inv1B6,B6,B,Inv1,6,9,10
Inv1B6,B6,B,Inv1,7,9,10
Inv1B6,B6,B,Inv1,8,9,10
Inv1B6,B6,B,Inv1,9,9,10
Inv1B6,B6,B,Inv1,10,9,10
Inv1B6,B6,B,Inv1,11,8,20
Inv1B6,B6,B,Inv1,12,6,40
Inv1B6,B6,B,Inv1,13,6,40
Inv1B6,B6,B,Inv1,14,6,40
Inv1B6,B6,B,Inv1,0,10,0
Inv1B7,B7,B,Inv1,1,10,0
Inv1B7,B7,B,Inv1,2,10,0
Inv1B7,B7,B,Inv1,3,10,0
Inv1B7,B7,B,Inv1,4,10,0
Inv1B7,B7,B,Inv1,5,10,0
Inv1B7,B7,B,Inv1,6,10,0
Inv1B7,B7,B,Inv1,7,10,0
Inv1B7,B7,B,Inv1,8,10,0
Inv1B7,B7,B,Inv1,9,9,10
Inv1B7,B7,B,Inv1,10,9,10
Inv1B7,B7,B,Inv1,11,9,10
Inv1B7,B7,B,Inv1,12,8,20
Inv1B7,B7,B,Inv1,13,8,20
Inv1B7,B7,B,Inv1,14,8,20
Inv1B7,B7,B,Inv1,0,10,0
Inv1B8,B8,B,Inv1,1,10,0
Inv1B8,B8,B,Inv1,2,10,0
Inv1B8,B8,B,Inv1,3,10,0
Inv1B8,B8,B,Inv1,4,10,0
Inv1B8,B8,B,Inv1,5,10,0
Inv1B8,B8,B,Inv1,6,10,0
Inv1B8,B8,B,Inv1,7,10,0
Inv1B8,B8,B,Inv1,8,9,10
Inv1B8,B8,B,Inv1,9,9,10
Inv1B8,B8,B,Inv1,10,8,20
Inv1B8,B8,B,Inv1,11,8,20
Inv1B8,B8,B,Inv1,12,8,20
Inv1B8,B8,B,Inv1,13,8,20
Inv1B8,B8,B,Inv1,14,8,20
Inv1B8,B8,B,Inv1,0,10,0
Inv1B9,B9,B,Inv1,1,9,10
Inv1B9,B9,B,Inv1,2,9,10
Inv1B9,B9,B,Inv1,3,9,10
Inv1B9,B9,B,Inv1,4,8,20
Inv1B9,B9,B,Inv1,5,8,20
Inv1B9,B9,B,Inv1,6,7,30
Inv1B9,B9,B,Inv1,7,7,30
Inv1B9,B9,B,Inv1,8,6,40
Inv1B9,B9,B,Inv1,9,6,40
Inv1B9,B9,B,Inv1,10,6,40
Inv1B9,B9,B,Inv1,11,6,40
Inv1B9,B9,B,Inv1,12,6,40
Inv1B9,B9,B,Inv1,13,6,40
Inv1B9,B9,B,Inv1,14,6,40
Inv1B9,B9,B,Inv1,0,10,0
Inv1C1,B1,C,Inv1,1,10,0
Inv1C1,B1,C,Inv1,2,10,0
Inv1C1,B1,C,Inv1,3,10,0
Inv1C1,B1,C,Inv1,4,10,0
Inv1C1,B1,C,Inv1,5,10,0
Inv1C1,B1,C,Inv1,6,10,0
Inv1C1,B1,C,Inv1,7,10,0
Inv1C1,B1,C,Inv1,8,9,10
Inv1C1,B1,C,Inv1,9,9,10
Inv1C1,B1,C,Inv1,10,9,10
Inv1C1,B1,C,Inv1,11,9,10
Inv1C1,B1,C,Inv1,12,8,20
Inv1C1,B1,C,Inv1,13,8,20
Inv1C1,B1,C,Inv1,14,8,20
Inv1C1,B1,C,Inv1,0,10,0
Inv1C10,B10,C,Inv1,1,10,0
Inv1C10,B10,C,Inv1,2,10,0
Inv1C10,B10,C,Inv1,3,10,0
Inv1C10,B10,C,Inv1,4,10,0
Inv1C10,B10,C,Inv1,5,10,0
Inv1C10,B10,C,Inv1,6,10,0
Inv1C10,B10,C,Inv1,7,10,0
Inv1C10,B10,C,Inv1,8,10,0
Inv1C10,B10,C,Inv1,9,10,0
Inv1C10,B10,C,Inv1,10,10,0
Inv1C10,B10,C,Inv1,11,10,0
Inv1C10,B10,C,Inv1,12,10,0
Inv1C10,B10,C,Inv1,13,10,0
Inv1C10,B10,C,Inv1,14,10,0
Inv1C10,B10,C,Inv1,0,10,0
Inv1C2,B2,C,Inv1,1,10,0
Inv1C2,B2,C,Inv1,2,10,0
Inv1C2,B2,C,Inv1,3,10,0
Inv1C2,B2,C,Inv1,4,10,0
Inv1C2,B2,C,Inv1,5,10,0
Inv1C2,B2,C,Inv1,6,10,0
Inv1C2,B2,C,Inv1,7,10,0
Inv1C2,B2,C,Inv1,8,10,0
Inv1C2,B2,C,Inv1,9,10,0
Inv1C2,B2,C,Inv1,10,10,0
Inv1C2,B2,C,Inv1,11,10,0
