Rep,Bloc,Trt,Strain,Time,Survival,Mortality
AllC1,B1,C,All,4,10,0
AllC1,B1,C,All,5,10,0
AllC1,B1,C,All,6,10,0
AllC1,B1,C,All,7,10,0
AllC1,B1,C,All,8,10,0
AllC1,B1,C,All,9,10,0
AllC1,B1,C,All,10,10,0
AllC1,B1,C,All,11,10,0
AllC1,B1,C,All,12,10,0
AllC1,B1,C,All,13,10,0
AllC1,B1,C,All,14,10,0
AllC1,B1,C,All,0,10,0
AllC10,B10,C,All,1,10,0
AllC10,B10,C,All,2,10,0
AllC10,B10,C,All,3,10,0
AllC10,B10,C,All,4,10,0
AllC10,B10,C,All,5,10,0
AllC10,B10,C,All,6,10,0
AllC10,B10,C,All,7,10,0
AllC10,B10,C,All,8,10,0
AllC10,B10,C,All,9,9,10
AllC10,B10,C,All,10,9,10
AllC10,B10,C,All,11,9,10
AllC10,B10,C,All,12,9,10
AllC10,B10,C,All,13,9,10
AllC10,B10,C,All,14,9,10
AllC10,B10,C,All,0,10,0
AllC2,B2,C,All,1,10,0
AllC2,B2,C,All,2,10,0
AllC2,B2,C,All,3,10,0
AllC2,B2,C,All,4,10,0
AllC2,B2,C,All,5,10,0
AllC2,B2,C,All,6,10,0
AllC2,B2,C,All,7,10,0
AllC2,B2,C,All,8,10,0
AllC2,B2,C,All,9,10,0
AllC2,B2,C,All,10,10,0
AllC2,B2,C,All,11,10,0
AllC2,B2,C,All,12,10,0
AllC2,B2,C,All,13,10,0
AllC2,B2,C,All,14,10,0
AllC2,B2,C,All,0,10,0
AllC3,B3,C,All,1,10,0
AllC3,B3,C,All,2,10,0
AllC3,B3,C,All,3,10,0
AllC3,B3,C,All,4,10,0
AllC3,B3,C,All,5,10,0
AllC3,B3,C,All,6,10,0
AllC3,B3,C,All,7,10,0
AllC3,B3,C,All,8,10,0
AllC3,B3,C,All,9,10,0
AllC3,B3,C,All,10,10,0
AllC3,B3,C,All,11,10,0
AllC3,B3,C,All,12,10,0
AllC3,B3,C,All,13,10,0
AllC3,B3,C,All,14,10,0
AllC3,B3,C,All,0,10,0
AllC4,B4,C,All,1,10,0
AllC4,B4,C,All,2,10,0
AllC4,B4,C,All,3,10,0
AllC4,B4,C,All,4,10,0
AllC4,B4,C,All,5,10,0
AllC4,B4,C,All,6,10,0
AllC4,B4,C,All,7,10,0
AllC4,B4,C,All,8,10,0
AllC4,B4,C,All,9,10,0
AllC4,B4,C,All,10,10,0
AllC4,B4,C,All,11,10,0
AllC4,B4,C,All,12,10,0
AllC4,B4,C,All,13,9,10
AllC4,B4,C,All,14,9,10
AllC4,B4,C,All,0,10,0
AllC5,B5,C,All,1,10,0
AllC5,B5,C,All,2,10,0
AllC5,B5,C,All,3,10,0
AllC5,B5,C,All,4,10,0
AllC5,B5,C,All,5,10,0
AllC5,B5,C,All,6,10,0
AllC5,B5,C,All,7,10,0
AllC5,B5,C,All,8,10,0
AllC5,B5,C,All,9,10,0
AllC5,B5,C,All,10,10,0
AllC5,B5,C,All,11,10,0
AllC5,B5,C,All,12,10,0
AllC5,B5,C,All,13,10,0
AllC5,B5,C,All,14,10,0
AllC5,B5,C,All,0,10,0
AllC6,B6,C,All,1,10,0
AllC6,B6,C,All,2,10,0
AllC6,B6,C,All,3,10,0
AllC6,B6,C,All,4,10,0
AllC6,B6,C,All,5,10,0
AllC6,B6,C,All,6,10,0
AllC6,B6,C,All,7,10,0
AllC6,B6,C,All,8,10,0
AllC6,B6,C,All,9,10,0
AllC6,B6,C,All,10,8,20
AllC6,B6,C,All,11,8,20
AllC6,B6,C,All,12,8,20
AllC6,B6,C,All,13,8,20
AllC6,B6,C,All,14,8,20
AllC6,B6,C,All,0,10,0
AllC7,B7,C,All,1,10,0
AllC7,B7,C,All,2,10,0
AllC7,B7,C,All,3,10,0
AllC7,B7,C,All,4,10,0
AllC7,B7,C,All,5,10,0
AllC7,B7,C,All,6,10,0
AllC7,B7,C,All,7,10,0
AllC7,B7,C,All,8,9,10
