Rep,Bloc,Trt,Strain,Time,Growth
AllB8,B8,B,All,9,12.5
AllB9,B9,B,All,0,0
AllB9,B9,B,All,1,-27.900000000000034
AllB9,B9,B,All,10,60.82222222222225
AllB9,B9,B,All,11,16.666666666666686
AllB9,B9,B,All,12,-7.888888888888914
AllB9,B9,B,All,13,39.375
AllB9,B9,B,All,14,63.125
AllB9,B9,B,All,2,53.60000000000002
AllB9,B9,B,All,3,-4.900000000000034
AllB9,B9,B,All,4,8
AllB9,B9,B,All,5,11.300000000000011
AllB9,B9,B,All,6,3.3000000000000114
AllB9,B9,B,All,7,19.19999999999999
AllB9,B9,B,All,8,23
AllB9,B9,B,All,9,8.699999999999989
AllC1,B1,C,All,0,0
AllC1,B1,C,All,1,-2.8000000000000114
AllC1,B1,C,All,10,54.80000000000007
AllC1,B1,C,All,11,30.799999999999955
AllC1,B1,C,All,12,39.10000000000002
AllC1,B1,C,All,13,38.60000000000002
AllC1,B1,C,All,14,6.399999999999977
AllC1,B1,C,All,2,81.40000000000003
AllC1,B1,C,All,3,23
AllC1,B1,C,All,4,60
AllC1,B1,C,All,5,7.2999999999999545
AllC1,B1,C,All,6,-17.799999999999955
AllC1,B1,C,All,7,72.19999999999993
AllC1,B1,C,All,8,6.300000000000068
AllC1,B1,C,All,9,11.799999999999955
AllC10,B10,C,All,0,0
AllC10,B10,C,All,1,112
AllC10,B10,C,All,10,19.777777777777715
AllC10,B10,C,All,11,71
AllC10,B10,C,All,12,86
AllC10,B10,C,All,13,-38.33333333333326
AllC10,B10,C,All,14,12.333333333333258
AllC10,B10,C,All,2,88.89999999999998
AllC10,B10,C,All,3,31.200000000000045
AllC10,B10,C,All,4,22.099999999999966
AllC10,B10,C,All,5,11.300000000000011
AllC10,B10,C,All,6,9.700000000000045
AllC10,B10,C,All,7,-6.100000000000023
AllC10,B10,C,All,8,48.89999999999998
AllC10,B10,C,All,9,16.33333333333337
AllC2,B2,C,All,0,0
AllC2,B2,C,All,1,20.5
AllC2,B2,C,All,10,47.19999999999993
AllC2,B2,C,All,11,62.10000000000002
AllC2,B2,C,All,12,27.800000000000068
AllC2,B2,C,All,13,46.19999999999993
AllC2,B2,C,All,14,13.200000000000045
AllC2,B2,C,All,2,110.60000000000002
AllC2,B2,C,All,3,24.19999999999999
AllC2,B2,C,All,4,10.5
AllC2,B2,C,All,5,42.80000000000001
AllC2,B2,C,All,6,4.699999999999989
AllC2,B2,C,All,7,8.5
AllC2,B2,C,All,8,36
AllC2,B2,C,All,9,-1.8999999999999773
AllC3,B3,C,All,0,0
AllC3,B3,C,All,1,27.399999999999977
AllC3,B3,C,All,10,50.5
AllC3,B3,C,All,11,41.700000000000045
AllC3,B3,C,All,12,56.60000000000002
AllC3,B3,C,All,13,17.299999999999955
AllC3,B3,C,All,14,16.299999999999955
